window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,59,evolving_frozen,6120,2074,0.4035947712418301,0.1133076181292189
0,59,evolving_dynamic,6120,2074,0.5633986928104575,0.4734811957569913
0,59,evolving_stale_budget,6120,2074,0.41013071895424835,0.09305689488910318
0,59,static_frozen,6120,1842,0.9776143790849673,0.9674267100977199
0,59,static_dynamic,6120,1842,0.988562091503268,0.9706840390879479
60,119,evolving_frozen,6120,3430,0.3212418300653595,0.033527696793002916
60,119,evolving_dynamic,6120,3430,0.42892156862745096,0.5641399416909622
60,119,evolving_stale_budget,6120,3430,0.32401960784313727,0.023032069970845483
60,119,static_frozen,6120,2176,0.9812091503267973,0.9664522058823529
60,119,static_dynamic,6120,2176,0.9937908496732026,0.984375
120,179,evolving_frozen,6120,3166,0.325,0.04074542008843967
120,179,evolving_dynamic,6120,3166,0.5470588235294118,0.633291219204043
120,179,evolving_stale_budget,6120,3166,0.3349673202614379,0.035691724573594444
120,179,static_frozen,6120,1980,0.9810457516339869,0.9732323232323232
120,179,static_dynamic,6120,1980,0.9946078431372549,0.9843434343434343
180,239,evolving_frozen,6120,3466,0.3261437908496732,0.040392383150605886
180,239,evolving_dynamic,6120,3466,0.6272875816993464,0.7080207732256203
180,239,evolving_stale_budget,6120,3466,0.33431372549019606,0.04183496826312753
180,239,static_frozen,6120,1946,0.9799019607843137,0.9691675231243576
180,239,static_dynamic,6120,1946,0.994281045751634,0.9840698869475848
240,299,evolving_frozen,6120,2960,0.3580065359477124,0.038175675675675674
240,299,evolving_dynamic,6120,2960,0.5839869281045752,0.6648648648648648
240,299,evolving_stale_budget,6120,2960,0.3764705882352941,0.0402027027027027
240,299,static_frozen,6120,1948,0.9803921568627451,0.9671457905544147
240,299,static_dynamic,6120,1948,0.9954248366013072,0.9856262833675564
300,359,evolving_frozen,6120,3480,0.3303921568627451,0.038505747126436785
300,359,evolving_dynamic,6120,3480,0.6650326797385621,0.7695402298850574
300,359,evolving_stale_budget,6120,3480,0.3380718954248366,0.04339080459770115
300,359,static_frozen,6120,2130,0.9813725490196078,0.9694835680751174
300,359,static_dynamic,6120,2130,0.9970588235294118,0.992018779342723
