window_start,window_end,condition,episodes,team_reward,intent_accuracy,distinct_targets,planner_reliability
0,99,dynamic_etm,500,0.24466666666666664,0.466,2.11,1.0
0,99,frozen_etm,500,0.24466666666666664,0.466,2.11,1.0
0,99,no_model,500,0.24466666666666664,0.2833333333333333,2.11,1.0
100,199,dynamic_etm,500,0.264,0.5079999999999999,2.032,1.0
100,199,frozen_etm,500,0.264,0.5079999999999999,2.032,1.0
100,199,no_model,500,0.264,0.2606666666666667,2.032,1.0
200,299,dynamic_etm,500,0.2953333333333334,0.5866666666666667,1.99,1.0
200,299,frozen_etm,500,0.2953333333333334,0.5586666666666666,1.99,1.0
200,299,no_model,500,0.2953333333333334,0.2533333333333333,1.99,1.0
