window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,59,evolving_frozen,6120,3004,0.44313725490196076,0.11218375499334221
0,59,evolving_dynamic,6120,3004,0.4946078431372549,0.5322902796271638
0,59,evolving_stale_budget,6120,3004,0.4465686274509804,0.11051930758988016
0,59,static_frozen,6120,2436,0.9874183006535948,0.9720853858784894
0,59,static_dynamic,6120,2436,0.9877450980392157,0.9733169129720853
60,119,evolving_frozen,6120,2240,0.4769607843137255,0.10625
60,119,evolving_dynamic,6120,2240,0.5295751633986928,0.47946428571428573
60,119,evolving_stale_budget,6120,2240,0.4727124183006536,0.12857142857142856
60,119,static_frozen,6120,2464,0.9877450980392157,0.9724025974025974
60,119,static_dynamic,6120,2464,0.9921568627450981,0.9833603896103896
120,179,evolving_frozen,6120,2892,0.3818627450980392,0.11618257261410789
120,179,evolving_dynamic,6120,2892,0.505718954248366,0.4827109266943292
120,179,evolving_stale_budget,6120,2892,0.37598039215686274,0.12621023513139695
120,179,static_frozen,6120,2448,0.9877450980392157,0.9734477124183006
120,179,static_dynamic,6120,2448,0.9949346405228758,0.9893790849673203
180,239,evolving_frozen,6120,3250,0.35228758169934643,0.11446153846153846
180,239,evolving_dynamic,6120,3250,0.5638888888888889,0.6538461538461539
180,239,evolving_stale_budget,6120,3250,0.3392156862745098,0.12676923076923077
180,239,static_frozen,6120,2436,0.9869281045751634,0.9700328407224958
180,239,static_dynamic,6120,2436,0.99640522875817,0.9909688013136289
240,299,evolving_frozen,6120,3644,0.3477124183006536,0.1163556531284303
240,299,evolving_dynamic,6120,3644,0.6310457516339869,0.6995060373216246
240,299,evolving_stale_budget,6120,3644,0.3344771241830065,0.12184412733260154
240,299,static_frozen,6120,2452,0.9856209150326798,0.968189233278956
240,299,static_dynamic,6120,2452,0.9968954248366013,0.9922512234910277
300,359,evolving_frozen,6120,3460,0.3457516339869281,0.11242774566473988
300,359,evolving_dynamic,6120,3460,0.6727124183006536,0.726878612716763
300,359,evolving_stale_budget,6120,3460,0.33545751633986925,0.1245664739884393
300,359,static_frozen,6120,2444,0.9879084967320262,0.973404255319149
300,359,static_dynamic,6120,2444,0.996078431372549,0.9905891980360065
