window_start,window_end,condition,episodes,team_reward,intent_accuracy,distinct_targets,planner_reliability
0,99,dynamic_etm,1000,0.25483333333333336,0.4606666666666666,2.042,1.0
0,99,frozen_etm,1000,0.25483333333333336,0.4606666666666666,2.042,1.0
0,99,no_model,1000,0.25483333333333336,0.30233333333333323,2.042,1.0
100,199,dynamic_etm,1000,0.272,0.5226666666666666,2.028,1.0
100,199,frozen_etm,1000,0.272,0.524,2.028,1.0
100,199,no_model,1000,0.272,0.2746666666666666,2.028,1.0
200,299,dynamic_etm,1000,0.2808333333333333,0.5606666666666668,2.009,1.0
200,299,frozen_etm,1000,0.2808333333333333,0.5546666666666668,2.009,1.0
200,299,no_model,1000,0.2808333333333333,0.24066666666666664,2.009,1.0
300,399,dynamic_etm,1000,0.3005,0.6446666666666666,1.828,1.0
300,399,frozen_etm,1000,0.3005,0.5996666666666667,1.828,1.0
300,399,no_model,1000,0.3005,0.16966666666666666,1.828,1.0
400,499,dynamic_etm,1000,0.3266666666666666,0.718,1.706,0.999137187230371
400,499,frozen_etm,1000,0.3266666666666666,0.65,1.706,0.999137187230371
400,499,no_model,1000,0.3266666666666666,0.15166666666666664,1.706,0.999137187230371
500,599,dynamic_etm,1000,0.34,0.7653333333333333,1.626,1.0
500,599,frozen_etm,1000,0.339,0.7166666666666667,1.629,1.0
500,599,no_model,1000,0.339,0.141,1.629,1.0
600,699,dynamic_etm,1000,0.37766666666666665,0.8099999999999998,1.568,1.0
600,699,frozen_etm,1000,0.36516666666666664,0.7226666666666667,1.598,1.0
600,699,no_model,1000,0.36516666666666664,0.14933333333333335,1.598,1.0
700,799,dynamic_etm,1000,0.41716666666666663,0.8646666666666666,1.642,1.0
700,799,frozen_etm,1000,0.3965,0.719,1.69,1.0
700,799,no_model,1000,0.3965,0.20199999999999999,1.69,1.0
800,899,dynamic_etm,1000,0.4618333333333333,0.909,1.754,1.0
800,899,frozen_etm,1000,0.4411666666666667,0.7883333333333332,1.791,1.0
800,899,no_model,1000,0.4411666666666667,0.25166666666666665,1.791,1.0
