window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,59,evolving_frozen,6120,2416,0.5027777777777778,0.37748344370860926
0,59,evolving_dynamic,6120,2416,0.5240196078431373,0.6026490066225165
0,59,evolving_stale_budget,6120,2416,0.5187908496732027,0.3042218543046358
0,59,static_frozen,6120,1880,0.844281045751634,0.898936170212766
0,59,static_dynamic,6120,1880,0.8980392156862745,0.8984042553191489
60,119,evolving_frozen,6120,3390,0.2676470588235294,0.17610619469026548
60,119,evolving_dynamic,6120,3390,0.47058823529411764,0.6179941002949852
60,119,evolving_stale_budget,6120,3390,0.3292483660130719,0.13805309734513274
60,119,static_frozen,6120,1960,0.8519607843137255,0.9071428571428571
60,119,static_dynamic,6120,1960,0.8830065359477124,0.8974489795918368
120,179,evolving_frozen,6120,3142,0.27712418300653596,0.03150859325270528
120,179,evolving_dynamic,6120,3142,0.36552287581699344,0.501591343093571
120,179,evolving_stale_budget,6120,3142,0.34673202614379084,0.009229789942711649
120,179,static_frozen,6120,2012,0.8504901960784313,0.9065606361829026
120,179,static_dynamic,6120,2012,0.9070261437908497,0.918986083499006
180,239,evolving_frozen,6120,3502,0.23839869281045753,0.039120502569960025
180,239,evolving_dynamic,6120,3502,0.45898692810457514,0.5976584808680754
180,239,evolving_stale_budget,6120,3502,0.2849673202614379,0.01656196459166191
180,239,static_frozen,6120,2148,0.8413398692810458,0.8966480446927374
180,239,static_dynamic,6120,2148,0.9156862745098039,0.9217877094972067
240,299,evolving_frozen,6120,3326,0.25277777777777777,0.030366806975345762
240,299,evolving_dynamic,6120,3326,0.492156862745098,0.6368009621166566
240,299,evolving_stale_budget,6120,3326,0.33725490196078434,0.016536380036079375
240,299,static_frozen,6120,2060,0.8563725490196078,0.9058252427184466
240,299,static_dynamic,6120,2060,0.9395424836601307,0.9524271844660194
300,359,evolving_frozen,6120,3266,0.2658496732026144,0.043478260869565216
300,359,evolving_dynamic,6120,3266,0.5277777777777778,0.6411512553582364
300,359,evolving_stale_budget,6120,3266,0.3599673202614379,0.028169014084507043
300,359,static_frozen,6120,2072,0.8531045751633987,0.8947876447876448
300,359,static_dynamic,6120,2072,0.9431372549019608,0.944980694980695
