seed,episode,soups,sampled_roles,teacher_roles,evolving_roles,static_roles
1,0,4.0,1-1-2,1-1-2,2-2-0,2-2-0
1,1,4.0,2-0-0,2-0-0,2-2-0,2-2-0
1,2,1.0,0-2-0,1-1-2,2-2-0,2-2-0
1,3,0.0,1-1-1,1-1-1,2-0-2,2-2-0
1,4,4.0,2-2-1,2-2-1,2-0-2,2-2-0
1,5,4.0,2-0-2,2-0-2,2-0-2,2-2-0
1,6,0.0,1-1-1,2-0-2,2-0-2,2-2-0
1,7,2.0,0-0-2,2-0-2,2-0-2,2-2-0
1,8,0.0,0-0-1,0-0-1,2-0-2,2-2-0
1,9,4.0,2-2-1,2-2-1,2-0-2,2-2-0
1,10,0.0,0-0-0,2-0-0,2-0-2,2-2-0
1,11,3.0,1-2-2,1-2-2,2-0-2,2-2-0
1,12,0.0,0-1-1,1-2-2,2-0-2,2-2-0
1,13,0.0,0-1-1,2-2-1,2-0-2,2-2-0
1,14,1.0,0-0-2,1-2-2,2-0-2,2-2-0
1,15,0.0,1-1-0,2-2-1,2-0-2,2-2-0
1,16,0.0,2-2-0,2-0-2,2-0-2,2-2-0
1,17,4.0,2-2-1,2-2-1,2-0-2,2-2-0
1,18,0.0,1-2-1,0-0-1,2-0-2,2-2-0
1,19,0.0,2-1-1,2-0-0,2-0-2,2-2-0
1,20,6.0,2-1-0,2-1-0,2-0-2,2-2-0
1,21,0.0,1-2-0,2-2-1,2-0-2,2-2-0
1,22,6.0,2-1-0,2-1-0,2-0-2,2-2-0
1,23,0.0,1-0-0,2-0-2,2-0-2,2-2-0
1,24,0.0,0-2-2,2-2-1,2-0-2,2-2-0
1,25,0.0,1-1-2,2-1-0,2-0-2,2-2-0
1,26,6.0,0-2-1,0-2-1,2-2-1,2-2-0
1,27,6.0,2-0-1,2-0-1,2-2-1,2-2-0
1,28,0.0,2-0-2,2-0-0,2-2-1,2-2-0
1,29,6.0,2-0-1,2-0-1,2-2-1,2-2-0
1,30,0.0,1-0-0,2-2-1,2-2-1,2-2-0
1,31,0.0,0-0-1,2-2-1,2-2-1,2-2-0
1,32,6.0,0-2-1,0-2-1,2-2-1,2-2-0
1,33,6.0,1-2-0,0-2-1,2-2-1,2-2-0
1,34,4.0,1-2-1,1-2-1,2-2-1,2-2-0
1,35,6.0,2-0-1,2-0-1,2-2-1,2-2-0
1,36,4.0,1-1-2,0-2-1,2-2-1,2-2-0
1,37,3.0,2-1-2,0-2-1,2-2-1,2-2-0
1,38,0.0,2-0-0,2-0-1,2-2-1,2-2-0
1,39,4.0,0-2-2,0-2-1,2-2-1,2-2-0
1,40,6.0,1-0-2,1-0-2,2-2-1,2-2-0
1,41,0.0,0-2-0,1-2-1,2-2-1,2-2-0
1,42,0.0,0-0-1,0-2-1,2-2-1,2-2-0
1,43,6.0,1-2-0,1-2-0,2-2-1,2-2-0
1,44,0.0,0-1-0,0-2-1,2-2-1,2-2-0
1,45,0.0,2-0-0,0-2-1,2-2-1,2-2-0
1,46,4.0,2-1-1,1-2-0,2-2-1,2-2-0
1,47,0.0,1-0-0,0-2-1,2-2-1,2-2-0
1,48,4.0,1-1-2,1-2-0,2-2-1,2-2-0
1,49,2.0,0-0-2,1-2-0,2-2-1,2-2-0
1,50,0.0,2-2-2,1-2-0,2-2-1,2-2-0
1,51,0.0,0-1-0,1-0-2,2-2-1,2-2-0
1,52,6.0,2-0-1,2-0-1,2-2-1,2-2-0
1,53,3.0,2-0-2,1-1-2,2-2-1,2-2-0
1,54,6.0,2-0-1,0-2-1,1-2-1,2-2-0
1,55,0.0,2-2-0,1-2-0,1-2-1,2-2-0
1,56,0.0,0-0-1,1-0-2,2-2-1,2-2-0
1,57,3.0,0-2-2,1-0-2,1-2-1,2-2-0
1,58,3.0,2-1-2,2-0-1,1-2-1,2-2-0
1,59,0.0,0-0-0,1-1-2,1-2-1,2-2-0
1,60,6.0,0-2-1,0-2-1,1-2-1,2-2-0
1,61,0.0,0-2-2,1-1-2,1-2-1,2-2-0
1,62,0.0,0-0-1,0-2-1,1-2-1,2-2-0
1,63,6.0,1-0-2,0-2-1,1-2-1,2-2-0
1,64,3.0,1-2-2,1-2-0,1-2-1,2-2-0
1,65,0.0,1-1-1,0-2-1,1-2-1,2-2-0
1,66,0.0,2-1-1,0-2-1,1-2-1,2-2-0
1,67,0.0,1-1-0,1-0-2,1-2-1,2-2-0
1,68,0.0,2-0-2,0-2-1,1-2-1,2-2-0
1,69,4.0,2-1-1,0-2-1,1-2-1,2-2-0
1,70,4.0,2-1-2,1-1-2,1-2-1,2-2-0
1,71,0.0,1-1-0,0-2-1,1-2-1,2-2-0
1,72,0.0,1-0-2,1-2-0,1-2-1,2-2-0
1,73,6.0,0-1-2,0-1-2,1-2-1,2-2-0
1,74,4.0,1-2-1,0-2-1,1-2-1,2-2-0
1,75,0.0,2-1-0,0-2-1,1-2-1,2-2-0
1,76,4.0,2-0-0,0-2-1,0-2-1,2-2-0
1,77,0.0,2-2-2,0-2-1,0-2-1,2-2-0
1,78,3.0,2-0-2,1-2-0,0-2-1,2-2-0
1,79,0.0,0-1-1,0-2-1,0-2-1,2-2-0
1,80,0.0,0-1-2,0-2-1,0-2-1,2-2-0
1,81,4.0,0-2-2,1-2-0,0-2-1,2-2-0
1,82,6.0,2-1-0,0-1-2,0-2-1,2-2-0
1,83,4.0,1-2-2,1-1-2,0-2-1,2-2-0
1,84,0.0,1-1-0,1-2-0,0-2-1,2-2-0
1,85,0.0,0-0-0,0-2-1,0-2-1,2-2-0
1,86,2.0,0-2-0,1-2-0,0-2-1,2-2-0
1,87,0.0,1-0-1,0-2-1,0-2-1,2-2-0
1,88,0.0,1-0-0,1-1-2,0-2-1,2-2-0
1,89,4.0,2-0-0,0-2-1,0-2-1,2-2-0
1,90,0.0,2-2-2,0-2-1,0-2-1,2-2-0
1,91,4.0,2-1-1,0-2-1,0-2-1,2-2-0
1,92,6.0,1-0-2,1-0-2,0-2-1,2-2-0
1,93,6.0,0-1-2,0-1-2,0-2-1,2-2-0
1,94,6.0,1-0-2,0-2-1,0-2-1,2-2-0
1,95,0.0,2-2-2,0-2-1,0-2-1,2-2-0
1,96,4.0,1-2-2,0-2-1,0-2-1,2-2-0
1,97,6.0,2-1-0,0-2-1,0-2-1,2-2-0
1,98,0.0,0-0-0,0-1-2,0-2-1,2-2-0
1,99,0.0,1-2-1,1-0-2,0-2-1,2-2-0
1,100,0.0,0-1-0,0-2-1,0-2-1,2-2-0
1,101,4.0,2-1-2,1-2-0,0-2-1,2-2-0
1,102,2.0,0-2-0,0-1-2,0-2-1,2-2-0
1,103,3.0,0-2-0,0-1-2,0-2-1,2-2-0
1,104,1.0,0-0-2,0-2-1,0-2-1,2-2-0
1,105,3.0,0-2-2,0-2-1,0-2-1,2-2-0
1,106,4.0,1-2-2,0-2-1,0-2-1,2-2-0
1,107,0.0,0-0-0,1-2-0,0-2-1,2-2-0
1,108,0.0,0-1-0,0-1-2,0-2-1,2-2-0
1,109,0.0,1-1-2,0-2-1,0-2-1,2-2-0
1,110,4.0,2-2-1,1-2-0,0-2-1,2-2-0
1,111,4.0,2-0-0,1-0-2,0-2-2,2-2-0
1,112,4.0,1-1-2,0-1-2,0-2-2,2-2-0
1,113,4.0,1-2-2,0-1-2,0-2-2,2-2-0
1,114,0.0,0-1-1,0-1-2,0-2-2,2-2-0
1,115,6.0,0-1-2,0-1-2,0-2-1,2-2-0
1,116,0.0,0-0-0,0-2-1,0-2-2,2-2-0
1,117,3.0,2-2-0,0-1-2,0-2-1,2-2-0
1,118,6.0,1-2-0,0-1-2,0-2-2,2-2-0
1,119,0.0,0-1-0,1-2-0,0-1-2,2-2-0
1,120,3.0,2-2-1,0-1-2,0-1-2,2-2-0
1,121,0.0,1-0-1,0-1-2,0-2-2,2-2-0
1,122,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,123,0.0,1-0-1,0-2-1,0-1-2,2-2-0
1,124,4.0,2-1-1,1-0-2,0-1-2,2-2-0
1,125,3.0,2-2-0,0-1-2,0-1-2,2-2-0
1,126,4.0,2-1-2,0-1-2,0-1-2,2-2-0
1,127,0.0,0-2-0,0-2-1,0-1-2,2-2-0
1,128,0.0,1-1-1,0-1-2,0-1-2,2-2-0
1,129,0.0,1-0-0,0-2-1,0-1-2,2-2-0
1,130,6.0,1-0-2,0-1-2,0-1-2,2-2-0
1,131,0.0,0-2-0,0-2-1,0-1-2,2-2-0
1,132,0.0,2-2-2,0-1-2,0-1-2,2-2-0
1,133,4.0,2-0-2,0-1-2,0-1-2,2-2-0
1,134,0.0,2-0-1,1-0-2,0-1-2,2-2-0
1,135,4.0,1-2-1,0-1-2,0-1-2,2-2-0
1,136,3.0,2-2-1,1-0-2,0-1-2,2-2-0
1,137,0.0,0-1-1,0-2-1,0-1-2,2-2-0
1,138,0.0,1-1-1,0-1-2,0-1-2,2-2-0
1,139,0.0,1-0-1,1-0-2,0-1-2,2-2-0
1,140,1.0,0-0-2,0-1-2,0-1-2,2-2-0
1,141,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,142,6.0,1-2-0,1-0-2,0-1-2,2-2-0
1,143,0.0,1-1-0,0-1-2,0-1-2,2-2-0
1,144,0.0,0-2-1,0-1-2,0-1-2,2-2-0
1,145,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,146,0.0,0-1-1,0-1-2,0-1-2,2-2-0
1,147,0.0,1-1-1,0-1-2,0-1-2,2-2-0
1,148,6.0,0-2-1,0-2-1,0-1-2,2-2-0
1,149,4.0,2-2-0,0-1-2,0-1-2,2-2-0
1,150,0.0,1-0-1,0-1-2,0-1-2,2-2-0
1,151,6.0,0-2-1,0-2-1,0-1-2,2-2-0
1,152,6.0,0-2-1,0-1-2,0-1-2,2-2-0
1,153,6.0,2-1-0,0-2-1,0-1-2,2-2-0
1,154,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,155,0.0,2-2-2,0-2-1,0-1-2,2-2-0
1,156,0.0,1-0-0,0-1-2,0-1-2,2-2-0
1,157,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,158,0.0,1-0-1,0-1-2,0-1-2,2-2-0
1,159,6.0,1-2-0,0-1-2,0-1-2,2-2-0
1,160,0.0,0-1-1,0-2-1,0-1-2,2-2-0
1,161,0.0,1-1-0,0-1-2,0-1-2,2-2-0
1,162,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,163,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,164,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,165,4.0,2-1-1,0-1-2,0-1-2,2-2-0
1,166,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,167,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,168,4.0,2-0-2,0-2-1,0-1-2,2-2-0
1,169,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,170,0.0,2-2-2,0-1-2,0-1-2,2-2-0
1,171,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,172,0.0,0-0-2,0-2-1,0-1-2,2-2-0
1,173,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,174,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,175,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,176,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,177,0.0,1-0-0,0-1-2,0-1-2,2-2-0
1,178,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,179,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,180,0.0,1-1-2,0-1-2,0-1-2,2-2-0
1,181,0.0,0-0-2,0-1-2,0-1-2,2-2-0
1,182,4.0,2-2-0,0-2-1,0-1-2,2-2-0
1,183,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,184,4.0,2-1-2,0-1-2,0-1-2,2-2-0
1,185,4.0,1-2-1,0-1-2,0-1-2,2-2-0
1,186,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,187,0.0,2-2-2,0-1-2,0-1-2,2-2-0
1,188,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,189,0.0,0-1-0,0-1-2,0-1-2,2-2-0
1,190,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,191,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,192,0.0,0-1-0,0-2-1,0-1-2,2-2-0
1,193,0.0,1-1-0,0-1-2,0-1-2,2-2-0
1,194,0.0,1-0-0,0-1-2,0-1-2,2-2-0
1,195,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,196,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,197,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,198,3.0,2-1-2,0-1-2,0-1-2,2-2-0
1,199,4.0,2-1-1,0-1-2,0-1-2,2-2-0
1,200,0.0,0-0-1,0-2-1,0-1-2,2-2-0
1,201,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,202,0.0,2-2-0,0-1-2,0-1-2,2-2-0
1,203,0.0,2-0-0,0-1-2,0-1-2,2-2-0
1,204,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,205,0.0,0-0-0,0-1-2,0-1-2,2-2-0
1,206,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,207,1.0,0-0-2,0-1-2,0-1-2,2-2-0
1,208,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,209,0.0,1-1-0,0-2-1,0-1-2,2-2-0
1,210,2.0,0-0-2,0-1-2,0-1-2,2-2-0
1,211,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,212,0.0,2-2-2,0-2-1,0-1-2,2-2-0
1,213,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,214,0.0,1-1-1,0-2-1,0-1-2,2-2-0
1,215,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,216,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,217,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,218,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,219,0.0,0-0-0,0-1-2,0-1-2,2-2-0
1,220,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,221,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,222,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,223,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,224,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,225,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,226,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,227,4.0,2-0-0,0-2-1,0-1-2,2-2-0
1,228,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,229,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,230,0.0,0-1-1,0-1-2,0-1-2,2-2-0
1,231,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,232,0.0,2-2-0,0-2-1,0-1-2,2-2-0
1,233,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,234,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,235,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,236,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,237,4.0,1-2-2,0-2-1,0-1-2,2-2-0
1,238,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,239,0.0,2-2-2,0-1-2,0-1-2,2-2-0
1,240,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,241,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,242,3.0,2-0-2,0-1-2,0-1-2,2-2-0
1,243,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,244,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,245,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,246,0.0,1-0-1,0-1-2,0-1-2,2-2-0
1,247,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,248,2.0,0-0-2,0-2-1,0-1-2,2-2-0
1,249,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,250,4.0,1-2-1,0-1-2,0-1-2,2-2-0
1,251,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,252,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,253,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,254,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,255,0.0,1-0-2,0-1-2,0-1-2,2-2-0
1,256,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,257,4.0,1-1-2,0-1-2,0-1-2,2-2-0
1,258,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,259,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,260,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,261,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,262,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,263,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,264,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,265,0.0,0-1-0,0-2-1,0-1-2,2-2-0
1,266,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,267,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,268,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,269,4.0,2-2-0,0-1-2,0-1-2,2-2-0
1,270,3.0,1-2-2,0-1-2,0-1-2,2-2-0
1,271,0.0,1-1-0,0-1-2,0-1-2,2-2-0
1,272,0.0,1-0-1,0-2-1,0-1-2,2-2-0
1,273,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,274,4.0,2-0-0,0-1-2,0-1-2,2-2-0
1,275,0.0,0-1-0,0-2-1,0-1-2,2-2-0
1,276,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,277,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,278,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,279,4.0,1-1-2,0-1-2,0-1-2,2-2-0
1,280,1.0,0-0-2,0-1-2,0-1-2,2-2-0
1,281,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,282,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,283,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,284,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,285,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,286,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,287,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,288,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,289,1.0,0-0-2,0-1-2,0-1-2,2-2-0
1,290,0.0,0-2-2,0-1-2,0-1-2,2-2-0
1,291,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,292,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,293,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,294,0.0,1-0-0,0-1-2,0-1-2,2-2-0
1,295,3.0,2-0-2,0-1-2,0-1-2,2-2-0
1,296,0.0,1-0-1,0-1-2,0-1-2,2-2-0
1,297,6.0,0-1-2,0-1-2,0-1-2,2-2-0
1,298,6.0,2-0-1,0-1-2,0-1-2,2-2-0
1,299,0.0,0-1-2,0-2-1,0-1-2,2-2-0
1,300,6.0,0-1-2,0-1-2,0-1-2,2-2-0
