window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,39,frozen_etm,4320,1608,0.5284722222222222,0.036069651741293535
0,39,dynamic_etm,4320,1608,0.5104166666666666,0.44092039800995025
40,79,frozen_etm,4320,1870,0.49907407407407406,0.057754010695187166
40,79,dynamic_etm,4320,1870,0.4060185185185185,0.45454545454545453
80,119,frozen_etm,4320,2066,0.4613425925925926,0.06243949661181026
80,119,dynamic_etm,4320,2066,0.42800925925925926,0.37318489835430785
120,159,frozen_etm,4320,2292,0.41458333333333336,0.05148342059336824
120,159,dynamic_etm,4320,2292,0.35,0.4271378708551483
