seed,episode,soups,sampled_roles,teacher_roles,observed_roles
0,121,3.0,2-1-0,0-1-2,1-2-2
0,122,0.0,0-0-1,0-2-1,1-2-2
0,123,0.0,0-0-0,1-2-0,1-2-2
0,124,0.0,0-2-0,1-0-2,1-2-2
0,125,2.0,2-1-2,0-1-2,1-2-2
0,126,0.0,2-1-0,0-2-1,0-2-2
0,127,0.0,0-0-2,0-1-2,0-2-2
0,128,2.0,0-1-2,1-2-0,1-2-2
0,129,2.0,1-2-1,0-1-2,0-2-2
0,130,2.0,0-2-0,0-1-2,0-2-2
0,131,0.0,0-0-1,0-1-2,0-2-2
0,132,3.0,1-2-0,1-0-2,0-2-2
0,133,2.0,2-2-1,0-1-2,0-2-2
0,134,0.0,0-1-1,1-0-2,0-2-2
0,135,0.0,1-1-2,0-1-2,0-2-2
0,136,0.0,1-1-1,0-1-2,0-2-2
0,137,0.0,1-0-1,0-1-2,0-1-2
0,138,2.0,2-2-1,1-2-0,0-2-2
0,139,3.0,1-0-2,1-0-2,0-1-2
0,140,3.0,0-1-2,0-1-2,0-1-2
0,141,3.0,2-0-1,0-2-1,0-2-2
0,142,0.0,1-2-0,0-1-2,0-1-2
0,143,3.0,0-1-2,0-1-2,0-1-2
0,144,0.0,2-1-1,1-0-2,0-1-2
0,145,0.0,1-0-1,1-0-2,0-1-2
0,146,3.0,0-1-2,0-1-2,0-1-2
0,147,2.0,2-1-2,0-2-1,0-1-2
0,148,2.0,2-1-0,1-0-2,0-1-2
0,149,3.0,0-1-2,0-1-2,0-1-2
0,150,2.0,0-2-0,0-1-2,0-1-2
0,151,0.0,0-0-1,0-1-2,0-1-2
0,152,0.0,0-0-1,1-0-2,0-1-2
0,153,0.0,2-2-0,1-0-2,0-1-2
0,154,0.0,2-1-1,1-0-2,0-1-2
0,155,2.0,2-2-0,0-1-2,0-1-2
0,156,2.0,1-2-0,0-1-2,0-1-2
0,157,2.0,2-1-1,0-1-2,0-1-2
0,158,2.0,2-2-1,0-2-1,0-1-2
0,159,2.0,0-0-2,1-0-2,1-1-2
1,0,2.0,1-1-2,1-1-2,2-2-0
1,1,2.0,2-0-0,2-0-0,2-2-0
1,2,1.0,0-2-0,1-1-2,2-2-0
1,3,0.0,1-1-1,1-1-1,2-0-2
1,4,2.0,2-2-1,2-2-1,2-0-2
1,5,2.0,2-0-2,2-0-2,2-0-2
1,6,0.0,1-1-1,2-0-2,2-0-2
1,7,2.0,0-0-2,0-0-2,2-0-2
1,8,0.0,0-0-1,0-0-1,2-0-2
1,9,2.0,2-2-1,2-2-1,2-0-2
1,10,0.0,0-0-0,2-0-0,2-0-2
1,11,2.0,1-2-2,1-2-2,2-0-2
1,12,0.0,0-1-1,1-2-2,2-0-2
1,13,0.0,0-1-1,2-2-1,2-0-2
1,14,1.0,0-0-2,1-2-2,2-0-2
1,15,0.0,1-1-0,2-2-1,2-0-2
1,16,0.0,2-2-0,0-0-2,2-0-2
1,17,2.0,2-2-1,1-2-2,2-0-2
1,18,0.0,1-2-1,0-0-1,2-0-2
1,19,0.0,2-1-1,2-0-0,2-0-2
1,20,3.0,2-1-0,2-1-0,2-0-2
1,21,0.0,1-2-0,1-2-2,2-0-2
1,22,2.0,2-1-0,1-2-2,2-0-2
1,23,0.0,1-0-0,0-0-2,2-0-2
1,24,0.0,0-2-2,2-2-1,2-2-2
1,25,0.0,1-1-2,1-2-2,2-2-2
1,26,3.0,0-2-1,0-2-1,2-2-2
1,27,3.0,2-0-1,2-0-1,2-2-2
1,28,0.0,2-0-2,2-0-0,2-2-2
1,29,2.0,2-0-1,2-0-0,2-2-2
1,30,0.0,1-0-0,2-2-1,2-2-2
1,31,0.0,0-0-1,2-2-1,2-2-2
1,32,2.0,0-2-1,2-0-1,2-2-2
1,33,3.0,1-2-0,1-2-0,2-2-2
1,34,2.0,1-2-1,1-2-1,2-2-2
1,35,2.0,2-0-1,2-1-0,2-2-1
1,36,2.0,1-1-2,1-2-0,2-2-1
1,37,2.0,2-1-2,1-2-0,2-2-1
1,38,0.0,2-0-0,2-1-0,2-2-1
1,39,2.0,0-2-2,0-2-1,2-2-1
1,40,3.0,1-0-2,1-0-2,2-2-1
1,41,0.0,0-2-0,1-2-1,2-2-1
1,42,0.0,0-0-1,1-2-0,2-2-1
1,43,2.0,1-2-0,2-1-0,2-2-1
