window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,39,frozen_etm,5280,1662,0.5848484848484848,0.36702767749699156
0,39,dynamic_etm,5280,1662,0.5848484848484848,0.36702767749699156
40,79,frozen_etm,5280,2732,0.33731060606060603,0.39092240117130306
40,79,dynamic_etm,5280,2732,0.4571969696969697,0.6028550512445096
80,119,frozen_etm,5280,2792,0.23674242424242425,0.12822349570200572
80,119,dynamic_etm,5280,2792,0.6255681818181819,0.6848137535816619
120,159,frozen_etm,5280,2794,0.24962121212121213,0.1556907659269864
120,159,dynamic_etm,5280,2794,0.703030303030303,0.80386542591267
160,199,frozen_etm,5280,3160,0.23257575757575757,0.16487341772151898
160,199,dynamic_etm,5280,3160,0.7621212121212121,0.839873417721519
200,239,frozen_etm,5280,3020,0.23939393939393938,0.14602649006622517
200,239,dynamic_etm,5280,3020,0.8092803030303031,0.8774834437086093
