seed,checkpoint,eval_case,learned_soups,static_soups,teacher_soups,learned_roles,static_roles,teacher_roles,agent_0_agrees,agent_1_agrees,agent_2_agrees,agent_0_hybrid_soups,agent_1_hybrid_soups,agent_2_hybrid_soups
2,0,0,0.0,0.0,,1-2-0,1-2-0,,,,,,,
2,0,1,0.0,0.0,,1-2-1,1-2-1,,,,,,,
2,0,2,0.0,0.0,,1-2-0,1-2-0,,,,,,,
2,0,3,6.0,6.0,,1-2-0,1-2-0,,,,,,,
2,0,4,0.0,0.0,,1-2-0,1-2-0,,,,,,,
2,0,5,0.0,0.0,,1-2-0,1-2-0,,,,,,,
2,0,6,6.0,6.0,,1-2-0,1-2-0,,,,,,,
2,0,7,6.0,6.0,,1-2-0,1-2-0,,,,,,,
2,0,8,4.0,4.0,,1-2-1,1-2-1,,,,,,,
2,0,9,6.0,6.0,,1-2-0,1-2-0,,,,,,,
2,0,10,0.0,0.0,,1-2-1,1-2-1,,,,,,,
2,0,11,0.0,0.0,,1-2-1,1-2-1,,,,,,,
2,40,0,0.0,0.0,3.0,2-0-2,1-2-0,1-2-2,0,0,1,0.0,6.0,3.0
2,40,1,3.0,0.0,6.0,2-0-2,1-2-1,1-0-2,0,1,1,3.0,6.0,6.0
2,40,2,0.0,0.0,3.0,2-0-2,1-2-0,1-2-2,0,0,1,0.0,6.0,3.0
2,40,3,4.0,6.0,6.0,2-0-2,1-2-0,1-0-2,0,1,1,4.0,6.0,6.0
2,40,4,0.0,0.0,3.0,2-0-2,1-2-0,1-2-2,0,0,1,0.0,6.0,3.0
2,40,5,0.0,0.0,3.0,2-0-2,1-2-0,1-2-2,0,0,1,0.0,6.0,3.0
2,40,6,4.0,6.0,6.0,2-0-2,1-2-0,1-0-2,0,1,1,4.0,6.0,6.0
2,40,7,4.0,6.0,6.0,2-0-2,1-2-0,1-0-2,0,1,1,4.0,6.0,6.0
2,40,8,0.0,4.0,6.0,2-0-2,1-2-1,2-0-1,1,1,0,6.0,6.0,0.0
2,40,9,3.0,6.0,2.0,2-0-2,1-2-0,0-0-2,0,1,1,3.0,2.0,2.0
2,40,10,3.0,0.0,6.0,2-0-2,1-2-1,1-0-2,0,1,1,3.0,6.0,6.0
2,40,11,3.0,0.0,6.0,2-0-2,1-2-1,1-0-2,0,1,1,3.0,6.0,6.0
