checkpoint,evaluation_games_per_condition,learned_mean_soups,static_mean_soups,teacher_mean_soups,agent_0_agreement,agent_0_hybrid_soups,agent_1_agreement,agent_1_hybrid_soups,agent_2_agreement,agent_2_hybrid_soups
0,24,3.4166666666666665,3.4166666666666665,,,,,,,
40,24,3.25,3.4166666666666665,5.208333333333333,0.375,3.5,0.625,5.166666666666667,0.625,3.4583333333333335
80,24,4.875,3.4166666666666665,6.0,0.7916666666666666,5.083333333333333,0.875,5.333333333333333,0.7083333333333334,4.916666666666667
120,24,3.8333333333333335,3.4166666666666665,6.0,0.75,4.75,0.8333333333333334,5.583333333333333,0.875,5.5
160,24,4.75,3.4166666666666665,6.0,1.0,6.0,0.7916666666666666,4.75,0.7916666666666666,5.375
200,24,4.75,3.4166666666666665,6.0,1.0,6.0,0.7916666666666666,4.75,0.7916666666666666,5.375
240,24,4.75,3.4166666666666665,6.0,1.0,6.0,0.7916666666666666,4.75,0.7916666666666666,5.375
280,24,4.75,3.4166666666666665,6.0,1.0,6.0,0.8333333333333334,5.0,0.7916666666666666,5.375
320,24,4.75,3.4166666666666665,6.0,1.0,6.0,0.7916666666666666,4.75,0.7916666666666666,5.375
360,24,4.75,3.4166666666666665,6.0,1.0,6.0,0.8333333333333334,5.0,0.7916666666666666,5.375
