seed,episode,soups,epsilon,agent_0_role_correct,agent_1_role_correct,agent_2_role_correct
0,0,0.0,0.9,0,0,0
0,1,0.0,0.885593220338983,0,0,0
0,2,0.0,0.8711864406779661,0,0,0
0,3,0.0,0.8567796610169491,0,0,0
0,4,0.0,0.8423728813559322,0,0,0
0,5,0.0,0.8279661016949152,0,0,0
0,6,0.0,0.8135593220338984,0,0,0
0,7,3.0,0.7991525423728814,0,0,1
0,8,3.0,0.7847457627118645,1,0,0
0,9,0.0,0.7703389830508475,0,0,1
0,10,1.0,0.7559322033898306,0,1,0
0,11,0.0,0.7415254237288136,0,0,0
0,12,0.0,0.7271186440677966,0,0,1
0,13,2.0,0.7127118644067797,1,0,1
0,14,0.0,0.6983050847457627,0,1,1
0,15,0.0,0.6838983050847458,0,1,0
0,16,3.0,0.6694915254237288,0,0,1
0,17,0.0,0.6550847457627119,0,0,0
0,18,0.0,0.6406779661016949,0,0,0
0,19,3.0,0.626271186440678,0,0,0
0,20,5.0,0.611864406779661,0,0,1
0,21,3.0,0.597457627118644,0,1,1
0,22,5.0,0.5830508474576271,0,1,0
0,23,0.0,0.5686440677966103,0,0,1
0,24,5.0,0.5542372881355933,1,0,0
0,25,0.0,0.5398305084745763,0,0,0
0,26,0.0,0.5254237288135594,0,1,1
0,27,5.0,0.5110169491525425,0,0,0
0,28,0.0,0.4966101694915254,0,0,0
0,29,5.0,0.4822033898305085,0,0,0
0,30,1.0,0.4677966101694916,1,0,0
0,31,5.0,0.4533898305084746,0,0,0
0,32,1.0,0.43898305084745765,0,0,1
0,33,5.0,0.42457627118644076,0,0,0
0,34,5.0,0.41016949152542376,0,0,0
0,35,0.0,0.3957627118644068,0,0,0
0,36,3.0,0.3813559322033898,0,0,1
0,37,0.0,0.3669491525423729,0,0,1
0,38,0.0,0.35254237288135604,0,0,0
0,39,0.0,0.33813559322033904,0,0,1
0,40,0.0,0.32372881355932215,0,0,0
0,41,0.0,0.30932203389830504,0,1,0
0,42,3.0,0.29491525423728815,1,0,0
0,43,3.0,0.28050847457627126,0,1,1
0,44,5.0,0.26610169491525426,1,0,0
0,45,0.0,0.2516949152542374,0,0,1
0,46,3.0,0.23728813559322037,0,1,1
0,47,5.0,0.22288135593220348,1,0,0
0,48,3.0,0.20847457627118648,0,1,0
0,49,3.0,0.19406779661016949,0,1,1
0,50,0.0,0.1796610169491526,0,0,0
0,51,0.0,0.1652542372881356,1,0,0
0,52,0.0,0.1508474576271187,0,0,0
0,53,3.0,0.1364406779661017,1,0,0
0,54,5.0,0.12203389830508482,1,1,1
0,55,5.0,0.10762711864406782,0,0,1
0,56,5.0,0.09322033898305082,0,0,0
0,57,5.0,0.07881355932203393,1,1,1
0,58,5.0,0.06440677966101693,0,0,0
0,59,5.0,0.050000000000000044,0,0,1
