seed,episode,soups,sampled_roles,teacher_roles,evolving_roles,static_roles
3,0,6.0,1-2-0,1-2-0,0-2-0,0-2-1
3,1,4.0,1-2-1,1-2-1,0-2-0,0-2-1
3,2,3.0,2-2-1,2-2-1,0-2-0,0-2-1
3,3,0.0,0-2-2,0-2-2,0-2-0,0-2-1
3,4,0.0,1-1-0,2-2-1,0-2-1,0-2-1
3,5,0.0,0-1-1,1-2-1,0-2-1,0-2-1
3,6,4.0,0-2-2,0-2-2,0-2-1,0-2-1
3,7,0.0,1-1-0,1-1-0,0-2-1,0-2-1
3,8,6.0,1-2-0,1-2-0,0-2-1,0-2-1
3,9,0.0,0-1-1,2-2-1,0-2-1,0-2-1
3,10,1.0,0-0-2,0-2-2,0-2-1,0-2-1
3,11,4.0,2-1-1,2-1-1,1-2-1,0-2-1
3,12,4.0,2-1-1,0-2-2,1-2-1,0-2-1
3,13,0.0,1-1-1,2-1-1,1-2-1,0-2-1
3,14,0.0,2-2-2,1-2-0,1-2-1,0-2-1
3,15,6.0,2-0-1,2-0-1,1-2-1,0-2-1
3,16,6.0,0-1-2,0-1-2,1-2-1,0-2-1
3,17,0.0,1-0-0,1-2-0,1-2-1,0-2-1
3,18,0.0,2-2-2,2-0-1,1-2-1,0-2-1
3,19,4.0,2-0-0,0-1-2,1-2-1,0-2-1
3,20,6.0,0-2-1,0-2-1,1-2-1,0-2-1
3,21,4.0,1-2-2,0-1-2,1-2-1,0-2-1
3,22,4.0,1-2-2,1-2-2,1-2-1,0-2-1
3,23,6.0,0-2-1,0-2-1,0-2-1,0-2-1
3,24,0.0,0-0-0,0-1-2,0-2-1,0-2-1
3,25,4.0,2-0-0,1-2-2,0-2-1,0-2-1
3,26,0.0,1-0-1,0-2-1,0-2-1,0-2-1
3,27,0.0,1-1-0,0-1-2,0-2-1,0-2-1
3,28,0.0,2-0-1,2-2-1,0-2-1,0-2-1
3,29,6.0,1-2-0,1-2-0,0-2-1,0-2-1
3,30,0.0,0-0-0,2-2-1,0-2-1,0-2-1
3,31,4.0,0-2-2,0-2-1,0-2-1,0-2-1
3,32,6.0,0-2-1,0-2-1,0-2-1,0-2-1
3,33,6.0,0-1-2,0-1-2,0-2-1,0-2-1
3,34,0.0,0-0-1,0-2-1,0-2-1,0-2-1
3,35,0.0,1-0-1,2-2-1,0-2-1,0-2-1
3,36,3.0,0-2-2,0-1-2,0-2-1,0-2-1
3,37,0.0,0-0-0,0-2-1,0-2-1,0-2-1
3,38,0.0,0-2-0,0-2-1,0-2-1,0-2-1
3,39,0.0,1-0-0,0-2-1,0-2-1,0-2-1
3,40,0.0,2-0-2,0-1-2,0-2-1,0-2-1
3,41,0.0,1-1-1,0-2-1,0-2-1,0-2-1
3,42,6.0,2-0-1,1-2-0,0-2-1,0-2-1
3,43,4.0,2-0-2,1-2-0,0-2-1,0-2-1
3,44,6.0,2-0-1,0-2-1,0-2-1,0-2-1
3,45,0.0,1-0-1,1-2-0,0-2-1,0-2-1
3,46,0.0,0-0-1,1-2-0,0-2-1,0-2-1
3,47,4.0,2-0-0,2-0-0,0-2-1,0-2-1
3,48,0.0,1-0-0,0-2-1,0-2-1,0-2-1
3,49,0.0,1-0-0,0-1-2,0-2-1,0-2-1
3,50,0.0,0-1-0,0-1-2,0-2-1,0-2-1
3,51,6.0,1-0-2,0-1-2,0-2-1,0-2-1
3,52,0.0,2-2-2,0-1-2,0-2-1,0-2-1
3,53,0.0,0-1-0,0-1-2,0-2-1,0-2-1
3,54,6.0,2-0-1,0-1-2,0-2-1,0-2-1
3,55,0.0,0-1-1,0-1-2,0-2-1,0-2-1
3,56,6.0,0-1-2,0-1-2,0-2-1,0-2-1
3,57,4.0,1-1-2,0-1-2,0-2-1,0-2-1
3,58,4.0,1-2-1,1-2-0,0-2-2,0-2-1
3,59,0.0,0-0-1,0-1-2,0-1-2,0-2-1
3,60,4.0,1-2-1,0-2-1,0-1-2,0-2-1
3,61,6.0,1-0-2,0-1-2,0-1-2,0-2-1
3,62,0.0,0-1-1,0-2-1,0-1-2,0-2-1
3,63,0.0,1-1-1,0-1-2,0-1-2,0-2-1
3,64,0.0,1-0-1,0-1-2,0-1-2,0-2-1
3,65,1.0,0-0-2,0-2-1,0-1-2,0-2-1
3,66,3.0,2-2-0,0-2-1,0-1-2,0-2-1
3,67,3.0,2-0-2,0-1-2,0-1-2,0-2-1
3,68,1.0,0-2-0,0-1-2,0-1-2,0-2-1
3,69,3.0,2-1-2,0-2-1,0-1-2,0-2-1
3,70,3.0,0-2-2,1-2-0,0-1-2,0-2-1
3,71,0.0,2-2-0,1-2-0,0-1-2,0-2-1
3,72,0.0,0-1-0,1-2-0,0-1-2,0-2-1
3,73,0.0,1-0-0,0-1-2,0-1-2,0-2-1
3,74,6.0,2-1-0,0-1-2,0-1-2,0-2-1
3,75,0.0,0-0-1,0-2-1,0-1-2,0-2-1
3,76,4.0,2-1-2,0-2-1,0-1-2,0-2-1
3,77,3.0,1-2-2,0-2-1,0-1-2,0-2-1
3,78,3.0,2-0-2,0-1-2,0-1-2,0-2-1
3,79,0.0,2-2-2,0-1-2,0-1-2,0-2-1
3,80,6.0,0-2-1,0-1-2,0-1-2,0-2-1
3,81,0.0,1-2-1,0-1-2,0-1-2,0-2-1
3,82,6.0,0-1-2,0-1-2,0-1-2,0-2-1
3,83,0.0,1-1-1,0-1-2,0-1-2,0-2-1
3,84,6.0,1-0-2,1-0-2,0-2-2,0-2-1
3,85,0.0,1-0-1,0-1-2,0-1-2,0-2-1
3,86,0.0,1-1-0,0-1-2,0-1-2,0-2-1
3,87,0.0,2-0-0,0-1-2,0-1-2,0-2-1
3,88,0.0,0-1-0,0-1-2,0-1-2,0-2-1
3,89,0.0,1-2-1,0-1-2,0-1-2,0-2-1
3,90,0.0,2-2-2,1-0-2,0-1-2,0-2-1
3,91,6.0,2-0-1,0-1-2,0-1-2,0-2-1
3,92,0.0,1-0-0,1-0-2,0-1-2,0-2-1
3,93,6.0,2-1-0,0-1-2,0-1-2,0-2-1
3,94,0.0,0-0-1,0-1-2,0-1-2,0-2-1
3,95,3.0,2-2-1,0-1-2,0-1-2,0-2-1
3,96,0.0,1-0-2,0-1-2,0-1-2,0-2-1
3,97,4.0,1-1-2,0-1-2,0-1-2,0-2-1
3,98,0.0,0-0-2,0-1-2,0-1-2,0-2-1
3,99,4.0,2-1-2,0-1-2,0-1-2,0-2-1
3,100,4.0,2-2-1,1-0-2,0-1-2,0-2-1
3,101,0.0,0-0-1,0-1-2,0-1-2,0-2-1
3,102,0.0,2-2-2,0-2-1,0-1-2,0-2-1
3,103,0.0,2-0-2,0-1-2,0-1-2,0-2-1
3,104,4.0,1-1-2,1-0-2,0-1-2,0-2-1
3,105,2.0,0-2-0,0-1-2,0-1-2,0-2-1
3,106,4.0,2-2-1,0-2-1,0-1-2,0-2-1
3,107,0.0,1-1-0,0-2-1,0-1-2,0-2-1
3,108,4.0,2-1-2,0-1-2,0-1-2,0-2-1
3,109,4.0,2-1-2,0-1-2,0-1-2,0-2-1
3,110,0.0,1-1-1,0-1-2,0-1-2,0-2-1
3,111,4.0,2-0-0,1-0-2,0-1-2,0-2-1
3,112,0.0,1-1-2,0-1-2,0-1-2,0-2-1
3,113,4.0,2-0-2,0-2-1,0-1-2,0-2-1
3,114,4.0,2-2-0,0-1-2,0-1-2,0-2-1
3,115,4.0,2-2-0,0-1-2,0-1-2,0-2-1
3,116,4.0,1-2-2,0-1-2,0-1-2,0-2-1
3,117,6.0,0-1-2,0-1-2,0-1-2,0-2-1
3,118,2.0,0-0-2,1-0-2,0-1-2,0-2-1
