window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,59,evolving_frozen,6120,2686,0.45016339869281047,0.310126582278481
0,59,evolving_dynamic,6120,2686,0.528921568627451,0.580789277736411
0,59,evolving_stale_budget,6120,2686,0.45179738562091504,0.3186895011169025
0,59,static_frozen,6120,3088,0.8464052287581699,0.834520725388601
0,59,static_dynamic,6120,3088,0.8805555555555555,0.9060880829015544
60,119,evolving_frozen,6120,2884,0.33986928104575165,0.15603328710124825
60,119,evolving_dynamic,6120,2884,0.45964052287581697,0.4986130374479889
60,119,evolving_stale_budget,6120,2884,0.3277777777777778,0.14389736477115117
60,119,static_frozen,6120,2520,0.8669934640522876,0.8158730158730159
60,119,static_dynamic,6120,2520,0.9228758169934641,0.9373015873015873
120,179,evolving_frozen,6120,3264,0.3187908496732026,0.12285539215686274
120,179,evolving_dynamic,6120,3264,0.4973856209150327,0.6449142156862745
120,179,evolving_stale_budget,6120,3264,0.29215686274509806,0.11090686274509803
120,179,static_frozen,6120,3080,0.8410130718954248,0.8314935064935065
120,179,static_dynamic,6120,3080,0.8769607843137255,0.9048701298701298
180,239,evolving_frozen,6120,3520,0.3137254901960784,0.11732954545454545
180,239,evolving_dynamic,6120,3520,0.597875816993464,0.7284090909090909
180,239,evolving_stale_budget,6120,3520,0.2937908496732026,0.11931818181818182
180,239,static_frozen,6120,2740,0.8619281045751634,0.8372262773722627
180,239,static_dynamic,6120,2740,0.909640522875817,0.9204379562043795
240,299,evolving_frozen,6120,3246,0.31895424836601305,0.1256931608133087
240,299,evolving_dynamic,6120,3246,0.6238562091503268,0.7492298213185459
240,299,evolving_stale_budget,6120,3246,0.2995098039215686,0.13185459026494148
240,299,static_frozen,6120,3088,0.8406862745098039,0.8286917098445595
240,299,static_dynamic,6120,3088,0.9200980392156862,0.9316709844559585
300,359,evolving_frozen,6120,3398,0.3107843137254902,0.12330782813419659
300,359,evolving_dynamic,6120,3398,0.6651960784313725,0.7972336668628605
300,359,evolving_stale_budget,6120,3398,0.30718954248366015,0.11153619776339023
300,359,static_frozen,6120,2700,0.8604575163398693,0.8422222222222222
300,359,static_dynamic,6120,2700,0.9259803921568628,0.9355555555555556
