window_start,window_end,prediction_events,dynamic_accuracy,frozen_accuracy,dynamic_disagreement,mean_observed_pairs
0,39,240,0.3541666666666667,0.3541666666666667,0.4666666666666666,4.475
40,79,240,0.32916666666666666,0.325,0.13333333333333333,5.025
