window_start,window_end,condition,games,mean_soups,teacher_role_accuracy,nonempty_etm_events,nonempty_etm_accuracy
0,39,no_etm,40,1.075,0.36666666666666664,0,
0,39,frozen_etm,40,1.1,0.35833333333333334,740,0.4851351351351351
0,39,dynamic_etm,40,1.1,0.35833333333333334,740,0.4851351351351351
40,79,no_etm,40,1.15,0.48333333333333334,0,
40,79,frozen_etm,40,1.15,0.5,790,0.4468354430379747
40,79,dynamic_etm,40,1.175,0.49166666666666664,816,0.633578431372549
80,119,no_etm,40,1.475,0.7416666666666667,0,
80,119,frozen_etm,40,1.5,0.7416666666666667,886,0.19751693002257337
80,119,dynamic_etm,40,1.375,0.725,832,0.6887019230769231
