seed,episode,condition,soups,teacher_role_correct,chosen_roles,teacher_roles,proposals
0,30,frozen_etm,1.0,0,2-1-2,0-2-1,1-1-2
0,30,dynamic_etm,1.0,0,2-1-2,0-2-1,1-1-2
0,31,no_etm,1.0,2,2-2-0,2-1-0,2-1-0
0,31,frozen_etm,0.0,1,2-2-2,2-1-0,2-1-0
0,31,dynamic_etm,0.0,1,2-2-2,2-1-0,2-1-0
0,32,no_etm,1.0,2,2-2-0,1-2-0,2-2-0
0,32,frozen_etm,1.0,2,2-2-0,1-2-0,2-2-0
0,32,dynamic_etm,1.0,2,2-2-0,1-2-0,2-2-0
0,33,no_etm,0.0,1,2-2-2,2-0-0,2-1-2
0,33,frozen_etm,0.0,1,2-2-2,2-0-0,2-1-2
0,33,dynamic_etm,0.0,1,2-2-2,2-0-0,2-1-2
0,34,no_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,34,frozen_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,34,dynamic_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,35,no_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,35,frozen_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,35,dynamic_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,36,no_etm,0.0,1,2-2-0,2-1-2,2-1-0
0,36,frozen_etm,0.0,1,2-2-0,2-1-2,2-1-0
0,36,dynamic_etm,0.0,1,2-2-0,2-1-2,2-1-0
0,37,no_etm,0.0,1,2-2-2,1-0-2,2-1-2
0,37,frozen_etm,0.0,1,2-2-2,1-0-2,2-1-2
0,37,dynamic_etm,0.0,1,2-2-2,1-0-2,2-1-2
0,38,no_etm,0.0,1,2-2-2,0-2-1,2-2-2
0,38,frozen_etm,1.0,2,2-2-1,0-2-1,2-2-2
0,38,dynamic_etm,1.0,2,2-2-1,0-2-1,2-2-2
0,39,no_etm,1.0,2,2-2-0,2-1-0,2-2-0
0,39,frozen_etm,1.0,2,2-2-0,2-1-0,2-2-0
0,39,dynamic_etm,1.0,2,2-2-0,2-1-0,2-2-0
0,40,no_etm,0.0,0,2-2-0,0-0-2,2-1-0
0,40,frozen_etm,0.0,0,2-2-0,0-0-2,2-1-0
0,40,dynamic_etm,0.0,0,2-2-0,0-0-2,2-1-0
0,41,no_etm,0.0,2,2-2-0,2-1-0,2-2-0
0,41,frozen_etm,0.0,2,2-2-0,2-1-0,2-2-0
0,41,dynamic_etm,0.0,2,2-2-0,2-1-0,2-2-0
0,42,no_etm,1.0,0,2-2-1,1-0-2,2-1-2
0,42,frozen_etm,1.0,0,2-2-1,1-0-2,2-1-2
0,42,dynamic_etm,1.0,0,2-2-1,1-0-2,2-1-2
0,43,no_etm,1.0,2,2-2-0,2-1-0,2-2-0
0,43,frozen_etm,1.0,2,2-2-0,2-1-0,2-2-0
0,43,dynamic_etm,1.0,2,2-2-0,2-1-0,2-2-0
0,44,no_etm,0.0,0,2-2-0,0-0-2,2-1-0
0,44,frozen_etm,0.0,0,2-2-0,0-0-2,2-1-0
0,44,dynamic_etm,0.0,0,2-2-0,0-0-2,2-1-0
0,45,no_etm,0.0,2,2-2-0,2-1-0,0-2-0
0,45,frozen_etm,0.0,2,2-2-0,2-1-0,0-2-0
0,45,dynamic_etm,0.0,2,2-2-0,2-1-0,0-2-0
0,46,no_etm,1.0,2,2-2-0,2-1-0,2-2-0
0,46,frozen_etm,1.0,2,2-2-0,2-1-0,2-2-0
0,46,dynamic_etm,1.0,2,2-2-0,2-1-0,2-2-0
0,47,no_etm,1.0,0,2-1-0,0-0-2,2-1-0
0,47,frozen_etm,1.0,0,2-1-0,0-0-2,2-1-0
0,47,dynamic_etm,1.0,0,2-1-0,0-0-2,2-1-0
0,48,no_etm,1.0,2,2-2-1,0-2-1,0-1-2
0,48,frozen_etm,1.0,1,2-1-1,0-2-1,0-1-2
0,48,dynamic_etm,1.0,1,2-1-1,0-2-1,0-1-2
0,49,no_etm,1.0,2,2-2-0,2-1-0,2-1-0
0,49,frozen_etm,2.0,3,2-1-0,2-1-0,2-1-0
0,49,dynamic_etm,2.0,3,2-1-0,2-1-0,2-1-0
0,50,no_etm,0.0,2,2-2-0,2-1-0,0-2-0
0,50,frozen_etm,0.0,2,2-2-0,2-1-0,0-2-0
0,50,dynamic_etm,0.0,2,2-2-0,2-1-0,0-2-0
0,51,no_etm,1.0,0,2-2-0,0-1-2,2-2-0
0,51,frozen_etm,2.0,1,2-1-0,0-1-2,2-2-0
0,51,dynamic_etm,2.0,1,2-1-0,0-1-2,2-2-0
0,52,no_etm,1.0,0,2-1-0,0-0-2,2-1-0
0,52,frozen_etm,1.0,0,2-1-0,0-0-2,2-1-0
0,52,dynamic_etm,1.0,0,2-1-0,0-0-2,2-1-0
0,53,no_etm,1.0,0,2-1-1,1-0-2,2-1-2
0,53,frozen_etm,1.0,0,2-1-1,1-0-2,2-1-2
0,53,dynamic_etm,1.0,0,2-1-1,1-0-2,2-1-2
0,54,no_etm,2.0,3,2-1-0,2-1-0,2-1-0
0,54,frozen_etm,2.0,3,2-1-0,2-1-0,2-1-0
0,54,dynamic_etm,2.0,3,2-1-0,2-1-0,2-1-0
0,55,no_etm,2.0,1,2-1-0,0-1-2,2-1-0
0,55,frozen_etm,2.0,1,2-1-0,0-1-2,2-1-0
0,55,dynamic_etm,2.0,1,2-1-0,0-1-2,2-1-0
0,56,no_etm,1.0,0,2-1-1,1-0-2,2-1-2
0,56,frozen_etm,1.0,0,2-1-1,1-0-2,2-1-2
0,56,dynamic_etm,1.0,0,2-1-1,1-0-2,2-1-2
0,57,no_etm,2.0,3,2-1-0,2-1-0,2-1-0
0,57,frozen_etm,2.0,3,2-1-0,2-1-0,2-1-0
0,57,dynamic_etm,2.0,3,2-1-0,2-1-0,2-1-0
0,58,no_etm,1.0,0,2-1-1,1-0-2,2-1-2
0,58,frozen_etm,1.0,1,2-1-2,1-0-2,2-1-2
0,58,dynamic_etm,1.0,1,2-1-2,1-0-2,2-1-2
0,59,no_etm,2.0,1,2-1-0,0-1-2,0-1-0
0,59,frozen_etm,2.0,1,2-1-0,0-1-2,0-1-0
0,59,dynamic_etm,2.0,1,2-1-0,0-1-2,0-1-0
0,60,no_etm,2.0,3,2-1-0,2-1-0,0-1-0
0,60,frozen_etm,2.0,3,2-1-0,2-1-0,0-1-0
0,60,dynamic_etm,2.0,3,2-1-0,2-1-0,0-1-0
0,61,no_etm,1.0,0,2-1-0,0-0-2,2-1-0
0,61,frozen_etm,1.0,0,2-1-0,0-0-2,2-1-0
0,61,dynamic_etm,1.0,0,2-1-0,0-0-2,2-1-0
0,62,no_etm,1.0,1,2-1-2,1-0-2,0-1-2
0,62,frozen_etm,1.0,1,2-1-2,1-0-2,0-1-2
0,62,dynamic_etm,1.0,1,2-1-2,1-0-2,0-1-2
0,63,no_etm,1.0,2,2-1-2,0-1-2,0-1-2
0,63,frozen_etm,1.0,2,2-1-2,0-1-2,0-1-2
0,63,dynamic_etm,1.0,2,2-1-2,0-1-2,0-1-2
0,64,no_etm,1.0,1,2-1-2,0-0-2,2-1-2
0,64,frozen_etm,1.0,1,2-1-2,0-0-2,2-1-2
0,64,dynamic_etm,1.0,1,2-1-2,0-0-2,2-1-2
0,65,no_etm,1.0,2,2-1-2,0-1-2,0-1-2
0,65,frozen_etm,1.0,2,2-1-2,0-1-2,0-1-2
0,65,dynamic_etm,1.0,2,2-1-2,0-1-2,0-1-2
0,66,no_etm,2.0,3,2-1-0,2-1-0,2-1-0
0,66,frozen_etm,1.0,2,2-1-2,2-1-0,2-1-0
0,66,dynamic_etm,0.0,2,0-1-0,2-1-0,2-1-0
0,67,no_etm,1.0,2,2-1-2,0-1-2,0-1-2
0,67,frozen_etm,1.0,2,2-1-2,0-1-2,0-1-2
0,67,dynamic_etm,1.0,2,2-1-2,0-1-2,0-1-2
0,68,no_etm,1.0,0,2-1-2,0-2-1,0-1-2
0,68,frozen_etm,1.0,0,2-1-2,0-2-1,0-1-2
0,68,dynamic_etm,1.0,0,2-1-2,0-2-1,0-1-2
0,69,no_etm,1.0,1,2-1-2,1-0-2,0-1-2
0,69,frozen_etm,1.0,1,0-1-2,1-0-2,0-1-2
0,69,dynamic_etm,1.0,1,0-1-2,1-0-2,0-1-2
0,70,no_etm,1.0,1,2-1-2,1-0-2,0-1-2
0,70,frozen_etm,1.0,1,2-1-2,1-0-2,0-1-2
0,70,dynamic_etm,2.0,1,0-1-2,1-0-2,0-1-2
