seed,episode,soups,sampled_roles,teacher_roles,observed_roles
2,121,6.0,0-2-1,0-1-2,0-1-2
2,122,0.0,0-0-2,1-0-2,0-1-2
2,123,6.0,2-0-1,0-2-1,0-1-2
2,124,4.0,2-0-2,0-2-1,0-1-2
2,125,0.0,1-0-0,0-1-2,0-1-2
2,126,0.0,1-2-0,0-1-2,0-1-2
2,127,4.0,2-2-1,0-2-1,0-1-2
2,128,0.0,1-0-2,0-1-2,0-1-2
2,129,0.0,1-0-0,0-2-1,0-1-2
2,130,0.0,1-1-1,0-2-1,0-1-2
2,131,6.0,0-1-2,0-1-2,0-1-2
2,132,0.0,0-2-1,0-1-2,0-1-2
2,133,4.0,2-0-0,0-1-2,0-1-2
2,134,3.0,2-1-2,0-1-2,0-1-2
2,135,0.0,1-1-1,0-1-2,0-1-2
2,136,6.0,0-1-2,0-1-2,0-1-2
2,137,0.0,0-0-2,0-1-2,0-1-2
2,138,6.0,0-1-2,0-1-2,0-1-2
2,139,0.0,0-0-0,0-1-2,0-1-2
2,140,6.0,0-1-2,0-1-2,0-1-2
2,141,6.0,0-1-2,0-1-2,0-1-2
2,142,0.0,1-0-1,0-2-1,0-1-2
2,143,0.0,0-0-0,0-2-1,0-1-2
2,144,0.0,0-1-0,0-1-2,0-1-2
2,145,4.0,2-0-2,0-1-2,0-1-2
2,146,0.0,2-2-2,0-2-1,0-1-2
2,147,4.0,1-2-1,0-1-2,0-1-2
2,148,4.0,2-1-2,0-1-2,0-1-2
2,149,3.0,0-2-2,0-2-1,0-1-2
2,150,0.0,0-2-2,0-1-2,0-1-2
2,151,0.0,1-0-0,0-1-2,0-1-2
2,152,6.0,1-2-0,0-1-2,0-1-2
2,153,0.0,0-0-1,0-1-2,0-1-2
2,154,0.0,0-0-1,0-2-1,0-1-2
2,155,6.0,0-2-1,0-1-2,0-1-2
2,156,4.0,2-1-1,0-1-2,0-1-2
2,157,0.0,1-0-1,0-1-2,0-1-2
2,158,6.0,0-2-1,0-1-2,0-1-2
2,159,0.0,1-1-2,0-1-2,0-1-2
2,160,0.0,0-1-2,0-2-1,0-1-2
2,161,0.0,0-0-1,0-1-2,0-1-2
2,162,3.0,2-2-0,0-1-2,0-1-2
2,163,0.0,0-1-1,0-1-2,0-1-2
2,164,1.0,0-0-2,0-1-2,0-1-2
2,165,0.0,2-0-0,0-1-2,0-1-2
2,166,0.0,0-0-1,0-1-2,0-1-2
2,167,4.0,2-1-2,0-1-2,0-1-2
2,168,6.0,1-2-0,0-1-2,0-1-2
2,169,0.0,1-0-0,0-1-2,0-1-2
2,170,6.0,0-1-2,0-1-2,0-1-2
2,171,0.0,1-0-1,0-1-2,0-1-2
2,172,3.0,2-2-1,0-1-2,0-1-2
2,173,4.0,2-0-0,0-1-2,0-1-2
2,174,0.0,2-0-1,0-1-2,0-1-2
2,175,0.0,0-1-2,0-2-1,0-1-2
2,176,0.0,0-1-2,0-2-1,0-1-2
2,177,0.0,2-0-2,0-1-2,0-1-2
2,178,4.0,2-2-1,0-1-2,0-1-2
2,179,0.0,1-1-1,0-2-1,0-1-2
2,180,6.0,0-1-2,0-1-2,0-1-2
2,181,0.0,2-0-2,0-1-2,0-1-2
2,182,0.0,2-2-2,0-1-2,0-1-2
2,183,0.0,0-1-2,0-2-1,0-1-2
2,184,4.0,2-1-2,0-1-2,0-1-2
2,185,3.0,1-2-2,0-1-2,0-1-2
2,186,6.0,2-1-0,0-1-2,0-1-2
2,187,6.0,0-1-2,0-1-2,0-1-2
2,188,0.0,2-2-0,0-2-1,0-1-2
2,189,6.0,0-1-2,0-1-2,0-1-2
2,190,6.0,1-0-2,0-1-2,0-1-2
2,191,6.0,0-1-2,0-1-2,0-1-2
2,192,6.0,0-1-2,0-1-2,0-1-2
2,193,0.0,2-0-0,0-1-2,0-1-2
2,194,6.0,0-1-2,0-1-2,0-1-2
2,195,6.0,1-2-0,0-1-2,0-1-2
2,196,6.0,0-1-2,0-1-2,0-1-2
2,197,6.0,0-1-2,0-1-2,0-1-2
2,198,6.0,0-1-2,0-1-2,0-1-2
2,199,0.0,1-1-1,0-1-2,0-1-2
2,200,1.0,0-2-0,0-1-2,0-1-2
2,201,6.0,1-0-2,0-1-2,0-1-2
2,202,6.0,0-1-2,0-1-2,0-1-2
2,203,6.0,1-2-0,0-1-2,0-1-2
2,204,0.0,2-2-2,0-1-2,0-1-2
2,205,0.0,1-1-1,0-1-2,0-1-2
2,206,6.0,0-1-2,0-1-2,0-1-2
2,207,6.0,0-1-2,0-1-2,0-1-2
2,208,6.0,0-1-2,0-1-2,0-1-2
2,209,6.0,0-1-2,0-1-2,0-1-2
2,210,3.0,2-2-1,0-1-2,0-1-2
2,211,0.0,0-1-2,0-2-1,0-1-2
2,212,6.0,0-1-2,0-1-2,0-1-2
2,213,6.0,0-1-2,0-1-2,0-1-2
2,214,6.0,0-1-2,0-1-2,0-1-2
2,215,6.0,1-2-0,0-2-1,0-1-2
2,216,6.0,0-1-2,0-1-2,0-1-2
2,217,0.0,1-0-0,0-1-2,0-1-2
2,218,6.0,0-1-2,0-1-2,0-1-2
2,219,6.0,0-1-2,0-1-2,0-1-2
2,220,0.0,1-1-0,0-1-2,0-1-2
2,221,4.0,2-0-0,0-1-2,0-1-2
2,222,6.0,1-0-2,0-1-2,0-1-2
2,223,0.0,0-1-2,0-2-1,0-1-2
