window_start,window_end,condition,predictions,nonempty_predictions,overall_accuracy,nonempty_accuracy
0,59,frozen_etm,12240,5680,0.2785947712418301,0.2755281690140845
0,59,dynamic_etm,12240,5680,0.6169117647058824,0.6348591549295775
60,119,frozen_etm,12240,6256,0.22736928104575163,0.18845907928388747
60,119,dynamic_etm,12240,6256,0.3836601307189543,0.4514066496163683
120,179,frozen_etm,12240,6506,0.23137254901960785,0.1660006148170919
120,179,dynamic_etm,12240,6506,0.4209967320261438,0.5205963725791577
180,239,frozen_etm,12240,7068,0.2258169934640523,0.1711941143180532
180,239,dynamic_etm,12240,7068,0.46658496732026145,0.5589983022071308
240,299,frozen_etm,12240,6624,0.23284313725490197,0.17466787439613526
240,299,dynamic_etm,12240,6624,0.4871732026143791,0.5857487922705314
300,359,frozen_etm,12240,6996,0.23186274509803922,0.18224699828473415
300,359,dynamic_etm,12240,6996,0.49411764705882355,0.5961978273299028
