scenario,candidate,responder,observer,own_role,own_x,own_y,belief_0,belief_1,soups
19,0,1,0,0,10,3,"[0.8332367096122708, 0.0647824595838539, 0.10198083080387531]","[0.15366880082336257, 0.09160405291019756, 0.7547271462664399]",0.0
19,0,1,1,0,6,3,"[0.8269799902091904, 0.10491853455090949, 0.06810147523990007]","[0.12320021224142391, 0.061318485349451994, 0.8154813024091241]",0.0
19,0,1,2,2,2,3,"[0.5259907483955475, 0.3671433564701935, 0.10686589513425898]","[0.5733999528046938, 0.3323762227627806, 0.0942238244325256]",0.0
19,1,1,0,0,10,3,"[0.0647824595838539, 0.8332367096122708, 0.10198083080387531]","[0.15366880082336257, 0.09160405291019756, 0.7547271462664399]",2.0
19,1,1,1,1,6,3,"[0.8269799902091904, 0.10491853455090949, 0.06810147523990007]","[0.12320021224142391, 0.061318485349451994, 0.8154813024091241]",2.0
19,1,1,2,2,2,3,"[0.5259907483955475, 0.3671433564701935, 0.10686589513425898]","[0.3323762227627806, 0.5733999528046938, 0.0942238244325256]",2.0
19,2,1,0,0,10,3,"[0.0647824595838539, 0.10198083080387531, 0.8332367096122708]","[0.15366880082336257, 0.09160405291019756, 0.7547271462664399]",1.0
19,2,1,1,2,6,3,"[0.8269799902091904, 0.10491853455090949, 0.06810147523990007]","[0.12320021224142391, 0.061318485349451994, 0.8154813024091241]",1.0
19,2,1,2,2,2,3,"[0.5259907483955475, 0.3671433564701935, 0.10686589513425898]","[0.3323762227627806, 0.0942238244325256, 0.5733999528046938]",1.0
20,0,2,0,0,2,3,"[0.16897528713541898, 0.08926149081142722, 0.7417632220531538]","[0.5976693957209196, 0.2680808200136308, 0.13424978426544956]",1.0
20,0,2,1,2,10,3,"[0.5748604847990477, 0.2672068718113762, 0.15793264338957608]","[0.45024338330401387, 0.3469366743790125, 0.2028199423169737]",1.0
20,0,2,2,0,6,3,"[0.8468176159436893, 0.09146622256573612, 0.06171616149057455]","[0.06574804490230056, 0.1423738471846351, 0.7918781079130643]",1.0
20,1,2,0,0,2,3,"[0.16897528713541898, 0.08926149081142722, 0.7417632220531538]","[0.2680808200136308, 0.5976693957209196, 0.13424978426544956]",2.0
20,1,2,1,2,10,3,"[0.5748604847990477, 0.2672068718113762, 0.15793264338957608]","[0.3469366743790125, 0.45024338330401387, 0.2028199423169737]",2.0
20,1,2,2,1,6,3,"[0.8468176159436893, 0.09146622256573612, 0.06171616149057455]","[0.06574804490230056, 0.1423738471846351, 0.7918781079130643]",2.0
20,2,2,0,0,2,3,"[0.16897528713541898, 0.08926149081142722, 0.7417632220531538]","[0.2680808200136308, 0.13424978426544956, 0.5976693957209196]",1.0
20,2,2,1,2,10,3,"[0.5748604847990477, 0.2672068718113762, 0.15793264338957608]","[0.3469366743790125, 0.2028199423169737, 0.45024338330401387]",1.0
20,2,2,2,2,6,3,"[0.8468176159436893, 0.09146622256573612, 0.06171616149057455]","[0.06574804490230056, 0.1423738471846351, 0.7918781079130643]",1.0
21,0,0,0,0,10,3,"[0.7659237656168397, 0.06767004681297525, 0.16640618757018502]","[0.14830829596732722, 0.6580088037355288, 0.19368290029714394]",0.0
21,0,0,1,0,6,3,"[0.7170090804599981, 0.11850636772226528, 0.16448455181773658]","[0.19867003953488874, 0.5268712197255893, 0.27445874073952203]",0.0
21,0,0,2,1,2,3,"[0.5430206044092354, 0.11246444805247377, 0.34451494753829087]","[0.7933826644148572, 0.12162934674700784, 0.08498798883813499]",0.0
21,1,0,0,1,10,3,"[0.7659237656168397, 0.06767004681297525, 0.16640618757018502]","[0.14830829596732722, 0.6580088037355288, 0.19368290029714394]",0.0
21,1,0,1,0,6,3,"[0.11850636772226528, 0.7170090804599981, 0.16448455181773658]","[0.19867003953488874, 0.5268712197255893, 0.27445874073952203]",0.0
21,1,0,2,1,2,3,"[0.11246444805247377, 0.5430206044092354, 0.34451494753829087]","[0.7933826644148572, 0.12162934674700784, 0.08498798883813499]",0.0
21,2,0,0,2,10,3,"[0.7659237656168397, 0.06767004681297525, 0.16640618757018502]","[0.14830829596732722, 0.6580088037355288, 0.19368290029714394]",1.0
21,2,0,1,0,6,3,"[0.11850636772226528, 0.16448455181773658, 0.7170090804599981]","[0.19867003953488874, 0.5268712197255893, 0.27445874073952203]",1.0
21,2,0,2,1,2,3,"[0.11246444805247377, 0.34451494753829087, 0.5430206044092354]","[0.7933826644148572, 0.12162934674700784, 0.08498798883813499]",1.0
22,0,1,0,2,6,3,"[0.47056020081006866, 0.34562496265961234, 0.183814836530319]","[0.09834691722129879, 0.7856779505736426, 0.11597513220505856]",2.0
22,0,1,1,0,2,3,"[0.2788610594109661, 0.13489201619821775, 0.5862469243908162]","[0.28650193879626323, 0.5122567043447578, 0.20124135685897898]",2.0
22,0,1,2,1,10,3,"[0.24179717933216396, 0.30591496897166287, 0.45228785169617314]","[0.7718333239051116, 0.11747639873911651, 0.11069027735577187]",2.0
22,1,1,0,2,6,3,"[0.34562496265961234, 0.47056020081006866, 0.183814836530319]","[0.09834691722129879, 0.7856779505736426, 0.11597513220505856]",1.0
22,1,1,1,1,2,3,"[0.2788610594109661, 0.13489201619821775, 0.5862469243908162]","[0.28650193879626323, 0.5122567043447578, 0.20124135685897898]",1.0
22,1,1,2,1,10,3,"[0.24179717933216396, 0.30591496897166287, 0.45228785169617314]","[0.11747639873911651, 0.7718333239051116, 0.11069027735577187]",1.0
22,2,1,0,2,6,3,"[0.34562496265961234, 0.183814836530319, 0.47056020081006866]","[0.09834691722129879, 0.7856779505736426, 0.11597513220505856]",1.0
22,2,1,1,2,2,3,"[0.2788610594109661, 0.13489201619821775, 0.5862469243908162]","[0.28650193879626323, 0.5122567043447578, 0.20124135685897898]",1.0
22,2,1,2,1,10,3,"[0.24179717933216396, 0.30591496897166287, 0.45228785169617314]","[0.11747639873911651, 0.11069027735577187, 0.7718333239051116]",1.0
23,0,2,0,0,2,3,"[0.4641790020359747, 0.14107462430568327, 0.3947463736583421]","[0.64066458934469, 0.1089827151810702, 0.2503526954742399]",0.0
23,0,2,1,0,6,3,"[0.5240761217444362, 0.34723109565373966, 0.12869278260182412]","[0.8344840544942642, 0.03814184904452313, 0.12737409646121267]",0.0
23,0,2,2,0,10,3,"[0.7430753867732935, 0.08059814482845354, 0.17632646839825292]","[0.5923911399101267, 0.1566457520853284, 0.25096310800454485]",0.0
23,1,2,0,0,2,3,"[0.4641790020359747, 0.14107462430568327, 0.3947463736583421]","[0.1089827151810702, 0.64066458934469, 0.2503526954742399]",0.0
23,1,2,1,0,6,3,"[0.5240761217444362, 0.34723109565373966, 0.12869278260182412]","[0.03814184904452313, 0.8344840544942642, 0.12737409646121267]",0.0
23,1,2,2,1,10,3,"[0.7430753867732935, 0.08059814482845354, 0.17632646839825292]","[0.5923911399101267, 0.1566457520853284, 0.25096310800454485]",0.0
23,2,2,0,0,2,3,"[0.4641790020359747, 0.14107462430568327, 0.3947463736583421]","[0.1089827151810702, 0.2503526954742399, 0.64066458934469]",1.0
23,2,2,1,0,6,3,"[0.5240761217444362, 0.34723109565373966, 0.12869278260182412]","[0.03814184904452313, 0.12737409646121267, 0.8344840544942642]",1.0
23,2,2,2,2,10,3,"[0.7430753867732935, 0.08059814482845354, 0.17632646839825292]","[0.5923911399101267, 0.1566457520853284, 0.25096310800454485]",1.0
24,0,0,0,0,10,3,"[0.1757327455797974, 0.1511197363730668, 0.6731475180471358]","[0.6382752386210353, 0.1660362083198305, 0.19568855305913418]",1.0
24,0,0,1,2,6,3,"[0.8137101746214792, 0.1268126776726714, 0.05947714770584938]","[0.5067998731767392, 0.11770089131174577, 0.37549923551151504]",1.0
24,0,0,2,0,2,3,"[0.4597775589117061, 0.3500401892447264, 0.19018225184356746]","[0.3170027242342335, 0.08703543763306941, 0.5959618381326971]",1.0
24,1,0,0,1,10,3,"[0.1757327455797974, 0.1511197363730668, 0.6731475180471358]","[0.6382752386210353, 0.1660362083198305, 0.19568855305913418]",2.0
24,1,0,1,2,6,3,"[0.1268126776726714, 0.8137101746214792, 0.05947714770584938]","[0.5067998731767392, 0.11770089131174577, 0.37549923551151504]",2.0
24,1,0,2,0,2,3,"[0.3500401892447264, 0.4597775589117061, 0.19018225184356746]","[0.3170027242342335, 0.08703543763306941, 0.5959618381326971]",2.0
24,2,0,0,2,10,3,"[0.1757327455797974, 0.1511197363730668, 0.6731475180471358]","[0.6382752386210353, 0.1660362083198305, 0.19568855305913418]",1.0
24,2,0,1,2,6,3,"[0.1268126776726714, 0.05947714770584938, 0.8137101746214792]","[0.5067998731767392, 0.11770089131174577, 0.37549923551151504]",1.0
24,2,0,2,0,2,3,"[0.3500401892447264, 0.19018225184356746, 0.4597775589117061]","[0.3170027242342335, 0.08703543763306941, 0.5959618381326971]",1.0
25,0,1,0,1,6,3,"[0.8431204056997481, 0.0675160442712339, 0.089363550029018]","[0.11827568151920236, 0.25135061553163224, 0.6303737029491654]",2.0
25,0,1,1,0,2,3,"[0.11233957676803384, 0.5007161925933573, 0.38694423063860883]","[0.19865556341939003, 0.2374039927233438, 0.5639404438572662]",2.0
25,0,1,2,2,10,3,"[0.3270439287195209, 0.5071544268117056, 0.16580164446877346]","[0.6630811503531899, 0.10572535083242071, 0.2311934988143894]",2.0
25,1,1,0,1,6,3,"[0.0675160442712339, 0.8431204056997481, 0.089363550029018]","[0.11827568151920236, 0.25135061553163224, 0.6303737029491654]",0.0
25,1,1,1,1,2,3,"[0.11233957676803384, 0.5007161925933573, 0.38694423063860883]","[0.19865556341939003, 0.2374039927233438, 0.5639404438572662]",0.0
25,1,1,2,2,10,3,"[0.3270439287195209, 0.5071544268117056, 0.16580164446877346]","[0.10572535083242071, 0.6630811503531899, 0.2311934988143894]",0.0
25,2,1,0,1,6,3,"[0.0675160442712339, 0.089363550029018, 0.8431204056997481]","[0.11827568151920236, 0.25135061553163224, 0.6303737029491654]",1.0
25,2,1,1,2,2,3,"[0.11233957676803384, 0.5007161925933573, 0.38694423063860883]","[0.19865556341939003, 0.2374039927233438, 0.5639404438572662]",1.0
25,2,1,2,2,10,3,"[0.3270439287195209, 0.5071544268117056, 0.16580164446877346]","[0.10572535083242071, 0.2311934988143894, 0.6630811503531899]",1.0
26,0,2,0,2,2,3,"[0.03593867258739449, 0.8465100334211515, 0.117551293991454]","[0.6948008302968939, 0.18671682600950787, 0.11848234369359824]",2.0
26,0,2,1,1,10,3,"[0.15456734807930958, 0.20989797654018041, 0.63553467538051]","[0.5480900925999234, 0.2725246297238727, 0.17938527767620394]",2.0
26,0,2,2,0,6,3,"[0.17495675698558713, 0.10225289046292882, 0.722790352551484]","[0.2610548187115638, 0.5155789124538079, 0.2233662688346283]",2.0
26,1,2,0,2,2,3,"[0.03593867258739449, 0.8465100334211515, 0.117551293991454]","[0.18671682600950787, 0.6948008302968939, 0.11848234369359824]",1.0
26,1,2,1,1,10,3,"[0.15456734807930958, 0.20989797654018041, 0.63553467538051]","[0.2725246297238727, 0.5480900925999234, 0.17938527767620394]",1.0
26,1,2,2,1,6,3,"[0.17495675698558713, 0.10225289046292882, 0.722790352551484]","[0.2610548187115638, 0.5155789124538079, 0.2233662688346283]",1.0
26,2,2,0,2,2,3,"[0.03593867258739449, 0.8465100334211515, 0.117551293991454]","[0.18671682600950787, 0.11848234369359824, 0.6948008302968939]",1.0
26,2,2,1,1,10,3,"[0.15456734807930958, 0.20989797654018041, 0.63553467538051]","[0.2725246297238727, 0.17938527767620394, 0.5480900925999234]",1.0
26,2,2,2,2,6,3,"[0.17495675698558713, 0.10225289046292882, 0.722790352551484]","[0.2610548187115638, 0.5155789124538079, 0.2233662688346283]",1.0
27,0,0,0,0,10,3,"[0.20001207267988722, 0.26159288055949376, 0.538395046760619]","[0.12506917511138074, 0.1284334041275483, 0.746497420761071]",1.0
27,0,0,1,2,6,3,"[0.7214920595523782, 0.14251149706089977, 0.13599644338672207]","[0.2203065020372724, 0.10667360126646067, 0.6730198966962669]",1.0
27,0,0,2,2,2,3,"[0.49877960534532606, 0.10460899122193544, 0.39661140343273854]","[0.36884515987068245, 0.15660639997750658, 0.47454844015181097]",1.0
27,1,0,0,1,10,3,"[0.20001207267988722, 0.26159288055949376, 0.538395046760619]","[0.12506917511138074, 0.1284334041275483, 0.746497420761071]",1.0
27,1,0,1,2,6,3,"[0.14251149706089977, 0.7214920595523782, 0.13599644338672207]","[0.2203065020372724, 0.10667360126646067, 0.6730198966962669]",1.0
27,1,0,2,2,2,3,"[0.10460899122193544, 0.49877960534532606, 0.39661140343273854]","[0.36884515987068245, 0.15660639997750658, 0.47454844015181097]",1.0
27,2,0,0,2,10,3,"[0.20001207267988722, 0.26159288055949376, 0.538395046760619]","[0.12506917511138074, 0.1284334041275483, 0.746497420761071]",0.0
27,2,0,1,2,6,3,"[0.14251149706089977, 0.13599644338672207, 0.7214920595523782]","[0.2203065020372724, 0.10667360126646067, 0.6730198966962669]",0.0
27,2,0,2,2,2,3,"[0.10460899122193544, 0.39661140343273854, 0.49877960534532606]","[0.36884515987068245, 0.15660639997750658, 0.47454844015181097]",0.0
28,0,1,0,1,6,3,"[0.6659022252934551, 0.161358779062678, 0.1727389956438669]","[0.1498039818590808, 0.06660918362600335, 0.7835868345149158]",2.0
28,0,1,1,0,10,3,"[0.05516170103480064, 0.8068373318128066, 0.13800096715239277]","[0.12311674567020177, 0.03188041159873193, 0.8450028427310663]",2.0
28,0,1,2,2,2,3,"[0.35301057893419835, 0.4852910505802629, 0.16169837048553876]","[0.6169686175741029, 0.19593634233883356, 0.1870950400870635]",2.0
28,1,1,0,1,6,3,"[0.161358779062678, 0.6659022252934551, 0.1727389956438669]","[0.1498039818590808, 0.06660918362600335, 0.7835868345149158]",1.0
28,1,1,1,1,10,3,"[0.05516170103480064, 0.8068373318128066, 0.13800096715239277]","[0.12311674567020177, 0.03188041159873193, 0.8450028427310663]",1.0
28,1,1,2,2,2,3,"[0.35301057893419835, 0.4852910505802629, 0.16169837048553876]","[0.19593634233883356, 0.6169686175741029, 0.1870950400870635]",1.0
28,2,1,0,1,6,3,"[0.161358779062678, 0.1727389956438669, 0.6659022252934551]","[0.1498039818590808, 0.06660918362600335, 0.7835868345149158]",1.0
28,2,1,1,2,10,3,"[0.05516170103480064, 0.8068373318128066, 0.13800096715239277]","[0.12311674567020177, 0.03188041159873193, 0.8450028427310663]",1.0
28,2,1,2,2,2,3,"[0.35301057893419835, 0.4852910505802629, 0.16169837048553876]","[0.19593634233883356, 0.1870950400870635, 0.6169686175741029]",1.0
29,0,2,0,0,10,3,"[0.22818894887397487, 0.11469948593431482, 0.6571115651917103]","[0.7808347160246148, 0.04484447746440446, 0.1743208065109807]",0.0
29,0,2,1,2,2,3,"[0.48374358489092223, 0.35384243944111515, 0.16241397566796267]","[0.7387007755973116, 0.14178459253014794, 0.11951463187254044]",0.0
29,0,2,2,0,6,3,"[0.614750162725056, 0.2746077658827005, 0.1106420713922435]","[0.36788157619547285, 0.17507508377652575, 0.45704334002800134]",0.0
29,1,2,0,0,10,3,"[0.22818894887397487, 0.11469948593431482, 0.6571115651917103]","[0.04484447746440446, 0.7808347160246148, 0.1743208065109807]",2.0
29,1,2,1,2,2,3,"[0.48374358489092223, 0.35384243944111515, 0.16241397566796267]","[0.14178459253014794, 0.7387007755973116, 0.11951463187254044]",2.0
29,1,2,2,1,6,3,"[0.614750162725056, 0.2746077658827005, 0.1106420713922435]","[0.36788157619547285, 0.17507508377652575, 0.45704334002800134]",2.0
29,2,2,0,0,10,3,"[0.22818894887397487, 0.11469948593431482, 0.6571115651917103]","[0.04484447746440446, 0.1743208065109807, 0.7808347160246148]",1.0
29,2,2,1,2,2,3,"[0.48374358489092223, 0.35384243944111515, 0.16241397566796267]","[0.14178459253014794, 0.11951463187254044, 0.7387007755973116]",1.0
29,2,2,2,2,6,3,"[0.614750162725056, 0.2746077658827005, 0.1106420713922435]","[0.36788157619547285, 0.17507508377652575, 0.45704334002800134]",1.0
