checkpoint,evaluation_games,mean_soups,agent_0_role_accuracy,agent_1_role_accuracy,agent_2_role_accuracy
0,12,5.333333333333333,0.0,0.3333333333333333,0.0
60,12,3.75,0.5833333333333334,0.16666666666666666,1.0
120,12,6.666666666666667,0.25,0.3333333333333333,0.25
180,12,5.0,0.16666666666666666,0.08333333333333333,0.5833333333333334
240,12,5.0,0.16666666666666666,0.16666666666666666,0.4166666666666667
300,12,3.25,0.25,0.3333333333333333,0.4166666666666667
360,12,4.916666666666667,0.5833333333333334,0.75,0.4166666666666667
