seed,episode,soups,epsilon,agent_0_role_correct,agent_1_role_correct,agent_2_role_correct
0,0,0.0,0.9,0,0,0
0,1,0.0,0.8976323119777159,0,0,0
0,2,0.0,0.8952646239554318,0,0,0
0,3,0.0,0.8928969359331477,0,0,0
0,4,0.0,0.8905292479108635,0,0,0
0,5,0.0,0.8881615598885794,0,0,0
0,6,0.0,0.8857938718662953,0,0,0
0,7,4.0,0.8834261838440112,0,0,1
0,8,5.0,0.881058495821727,1,0,0
0,9,0.0,0.8786908077994429,0,0,1
0,10,1.0,0.8763231197771588,0,1,0
0,11,0.0,0.8739554317548747,0,0,1
0,12,0.0,0.8715877437325905,0,0,1
0,13,0.0,0.8692200557103065,1,1,0
0,14,0.0,0.8668523676880223,0,1,1
0,15,8.0,0.8644846796657382,0,0,1
0,16,0.0,0.862116991643454,0,0,1
0,17,5.0,0.85974930362117,0,1,0
0,18,5.0,0.8573816155988858,1,0,1
0,19,5.0,0.8550139275766017,0,0,0
0,20,0.0,0.8526462395543176,0,1,1
0,21,5.0,0.8502785515320335,0,1,1
0,22,1.0,0.8479108635097493,0,0,1
0,23,5.0,0.8455431754874652,0,1,1
0,24,0.0,0.8431754874651811,0,0,0
0,25,0.0,0.840807799442897,0,0,0
0,26,0.0,0.8384401114206128,0,0,0
0,27,5.0,0.8360724233983288,0,1,1
0,28,8.0,0.8337047353760446,1,1,1
0,29,5.0,0.8313370473537605,0,0,0
0,30,0.0,0.8289693593314763,0,1,0
0,31,8.0,0.8266016713091923,1,0,0
0,32,0.0,0.8242339832869081,1,0,0
0,33,5.0,0.821866295264624,1,1,0
0,34,8.0,0.8194986072423398,0,0,0
0,35,0.0,0.8171309192200558,0,1,0
0,36,4.0,0.8147632311977716,0,0,1
0,37,0.0,0.8123955431754875,0,0,0
0,38,0.0,0.8100278551532034,0,1,0
0,39,5.0,0.8076601671309193,0,0,1
0,40,8.0,0.8052924791086351,0,0,0
0,41,0.0,0.8029247910863511,0,0,0
0,42,0.0,0.8005571030640669,1,0,0
0,43,0.0,0.7981894150417828,1,0,1
0,44,8.0,0.7958217270194986,1,1,1
0,45,0.0,0.7934540389972146,0,0,0
0,46,0.0,0.7910863509749304,1,0,1
0,47,0.0,0.7887186629526463,0,0,0
0,48,0.0,0.7863509749303621,0,0,0
0,49,0.0,0.7839832869080781,0,0,1
0,50,0.0,0.7816155988857939,1,1,0
0,51,5.0,0.7792479108635098,1,0,1
0,52,5.0,0.7768802228412257,0,1,0
0,53,0.0,0.7745125348189416,0,1,0
0,54,0.0,0.7721448467966574,0,1,0
0,55,0.0,0.7697771587743734,0,0,1
0,56,5.0,0.7674094707520891,1,0,1
0,57,0.0,0.765041782729805,0,0,1
0,58,0.0,0.7626740947075209,0,0,0
0,59,0.0,0.7603064066852367,1,0,0
0,60,5.0,0.7579387186629527,0,1,0
0,61,5.0,0.7555710306406686,0,0,0
0,62,0.0,0.7532033426183844,0,1,1
0,63,5.0,0.7508356545961004,0,0,1
0,64,5.0,0.7484679665738162,0,1,1
0,65,0.0,0.746100278551532,0,1,0
0,66,0.0,0.743732590529248,0,1,0
0,67,0.0,0.7413649025069637,0,1,0
0,68,5.0,0.7389972144846797,0,0,1
0,69,8.0,0.7366295264623955,1,1,1
0,70,0.0,0.7342618384401114,0,1,0
0,71,0.0,0.7318941504178273,0,0,0
0,72,5.0,0.7295264623955432,1,1,0
0,73,5.0,0.727158774373259,0,0,0
0,74,0.0,0.724791086350975,1,0,0
0,75,8.0,0.7224233983286908,1,1,1
0,76,0.0,0.7200557103064067,0,0,0
0,77,0.0,0.7176880222841227,1,1,0
0,78,5.0,0.7153203342618385,1,1,0
0,79,8.0,0.7129526462395543,0,0,0
0,80,0.0,0.7105849582172702,0,0,0
0,81,2.0,0.708217270194986,1,1,0
0,82,0.0,0.705849582172702,1,0,1
0,83,0.0,0.7034818941504178,0,0,0
0,84,0.0,0.7011142061281337,0,0,0
0,85,0.0,0.6987465181058496,0,0,0
0,86,3.0,0.6963788300835655,0,1,1
0,87,5.0,0.6940111420612813,0,0,0
0,88,2.0,0.6916434540389973,0,1,1
