seed,episode,soups,epsilon,sampled_roles,teacher_roles,agent_0_loss,agent_1_loss,agent_2_loss
4,0,2.0,1.0,0-2-0,0-2-0,1.128482699394226,1.0182563066482544,1.2454917430877686
4,1,0.0,0.9974930362116992,1-2-0,1-2-0,1.1125160455703735,0.8901740312576294,1.0655992031097412
4,2,0.0,0.9949860724233983,0-0-0,0-0-0,0.9173178672790527,0.947559118270874,0.9984250068664551
4,3,0.0,0.9924791086350975,1-0-0,1-0-0,1.1178520917892456,0.9569205045700073,0.9505608081817627
4,4,0.0,0.9899721448467966,2-1-1,0-0-0,0.8222026824951172,0.9261464476585388,0.7859811782836914
4,5,4.0,0.9874651810584958,2-1-2,2-1-2,1.5211769342422485,2.1647565364837646,1.584312915802002
4,6,6.0,0.984958217270195,0-1-2,0-1-2,0.7575081586837769,2.1337575912475586,1.5125477313995361
4,7,0.0,0.9824512534818941,1-1-0,2-1-2,1.5551068782806396,2.0657851696014404,1.5763521194458008
4,8,0.0,0.9799442896935933,0-1-0,2-1-2,1.539001703262329,1.9773695468902588,1.5304985046386719
4,9,3.0,0.9774373259052925,2-2-0,2-2-0,1.5359008312225342,0.9048269391059875,0.561272382736206
4,10,6.0,0.9749303621169917,2-1-0,2-1-0,1.4419291019439697,1.8190908432006836,0.596341073513031
4,11,0.0,0.9724233983286908,0-1-1,2-1-2,1.3751189708709717,1.7094311714172363,1.3951905965805054
4,12,0.0,0.96991643454039,2-2-2,2-2-0,1.3396203517913818,0.9632731080055237,0.5482749342918396
4,13,4.0,0.9674094707520892,2-0-2,2-0-2,1.2605868577957153,0.9021947979927063,1.3196358680725098
4,14,6.0,0.9649025069637883,1-0-2,1-0-2,1.3009108304977417,0.9159788489341736,1.2736179828643799
4,15,4.0,0.9623955431754875,1-2-1,1-2-1,1.2384604215621948,1.0081170797348022,2.0059452056884766
4,16,4.0,0.9598885793871866,2-2-1,2-2-1,1.08902108669281,1.0218231678009033,1.9051709175109863
4,17,6.0,0.9573816155988858,1-0-2,1-0-2,1.229339361190796,0.9563398361206055,1.1228766441345215
4,18,0.0,0.954874651810585,0-2-0,1-0-2,1.2820035219192505,0.9489124417304993,1.07194185256958
4,19,4.0,0.9523676880222841,2-0-0,0-1-2,1.0609240531921387,1.3485743999481201,1.0569677352905273
4,20,0.0,0.9498607242339833,2-2-2,1-0-0,1.2379050254821777,0.9708107709884644,0.7848615050315857
4,21,4.0,0.9473537604456824,2-0-0,2-0-0,0.9193374514579773,0.9309277534484863,0.8050035238265991
4,22,0.0,0.9448467966573816,0-0-1,0-0-1,1.2465769052505493,0.9416667819023132,1.721792221069336
4,23,0.0,0.9423398328690807,0-1-2,2-0-0,0.8911182880401611,0.8868656754493713,0.8529049158096313
4,24,6.0,0.9398328690807799,1-2-0,1-0-2,1.1765981912612915,0.8561015725135803,0.8497670292854309
4,25,3.0,0.9373259052924791,0-2-2,2-0-0,0.8639851212501526,0.8211300373077393,0.8863732814788818
4,26,0.0,0.9348189415041783,0-0-1,0-1-2,1.2852096557617188,1.3340106010437012,0.911352276802063
4,27,3.0,0.9323119777158775,2-2-1,0-1-2,1.297591209411621,1.3342671394348145,0.8975841999053955
4,28,0.0,0.9298050139275766,2-0-0,2-1-0,0.8565354943275452,1.283137559890747,0.9296789169311523
4,29,6.0,0.9272980501392758,2-0-1,1-0-2,1.1621434688568115,0.725574791431427,0.7660169005393982
4,30,0.0,0.924791086350975,0-2-1,0-1-2,1.2946982383728027,1.2768661975860596,0.8463202118873596
4,31,0.0,0.9222841225626741,2-2-2,1-0-2,1.0825858116149902,0.718416690826416,0.7187824249267578
4,32,0.0,0.9197771587743733,1-1-0,2-0-0,0.84690260887146,0.6890919208526611,1.0036442279815674
4,33,6.0,0.9172701949860724,0-2-1,0-2-1,1.4525130987167358,1.597409963607788,1.989920973777771
4,34,0.0,0.9147632311977716,1-0-2,2-1-0,0.8701577186584473,1.1580085754394531,1.034345030784607
4,35,4.0,0.9122562674094707,1-2-2,0-1-2,1.2523937225341797,1.19071364402771,0.7615764141082764
4,36,0.0,0.9097493036211699,1-1-1,2-0-0,0.8555538654327393,0.6683634519577026,1.046160101890564
4,37,6.0,0.9072423398328691,0-1-2,0-1-2,1.310929775238037,1.2001409530639648,0.6475846767425537
4,38,0.0,0.9047353760445682,0-1-1,0-1-2,1.1904901266098022,1.1035664081573486,0.7451207041740417
4,39,0.0,0.9022284122562674,0-2-2,0-0-1,1.2522776126861572,0.7605143785476685,1.8356549739837646
4,40,0.0,0.8997214484679665,1-1-0,2-1-0,0.8792555332183838,0.9644639492034912,1.0726430416107178
4,41,4.0,0.8972144846796657,2-1-1,0-2-1,1.2849663496017456,1.8610868453979492,2.0045855045318604
4,42,0.0,0.8947075208913648,1-1-0,0-1-2,1.0307135581970215,0.9615201950073242,0.7352913022041321
4,43,0.0,0.892200557103064,1-1-2,0-2-1,1.1999591588974,1.885509729385376,1.9414359331130981
4,44,3.0,0.8896935933147633,0-2-0,0-1-2,0.9282800555229187,0.8937114477157593,0.7416688799858093
4,45,1.0,0.8871866295264624,0-0-2,0-1-2,0.975938081741333,0.9364364147186279,0.6445757150650024
4,46,4.0,0.8846796657381616,2-0-0,2-0-0,0.9755187034606934,0.9763455986976624,1.0939933061599731
4,47,4.0,0.8821727019498607,2-2-0,2-0-0,0.9967159032821655,1.0068871974945068,1.1015088558197021
4,48,6.0,0.8796657381615599,2-1-0,2-1-0,1.007654070854187,0.7041639089584351,1.0971366167068481
4,49,0.0,0.8771587743732591,1-1-1,2-1-0,1.0083122253417969,0.6834325194358826,1.0824644565582275
4,50,0.0,0.8746518105849582,0-1-0,0-1-2,0.7974361181259155,0.8030006289482117,0.676918089389801
4,51,4.0,0.8721448467966574,1-1-2,1-1-2,1.9560253620147705,0.7678155899047852,0.7309161424636841
4,52,0.0,0.8696378830083565,0-1-0,1-1-2,1.9731478691101074,0.7272853851318359,0.7323043346405029
4,53,6.0,0.8671309192200557,0-1-2,0-1-2,0.8838326930999756,0.5411004424095154,0.7267079949378967
4,54,4.0,0.8646239554317549,0-2-2,0-1-2,0.8750035762786865,0.4971948266029358,0.7148185968399048
4,55,0.0,0.862116991643454,0-0-0,0-1-2,0.858662486076355,0.4520407021045685,0.6973110437393188
4,56,6.0,0.8596100278551532,1-2-0,0-1-2,0.6398589015007019,0.46703532338142395,0.7347500920295715
4,57,4.0,0.8571030640668524,1-2-2,2-1-0,1.0804009437561035,0.36275413632392883,1.091328501701355
4,58,0.0,0.8545961002785515,2-2-2,1-1-2,1.9871618747711182,0.44412535429000854,0.631172776222229
4,59,6.0,0.8520891364902508,0-1-2,0-1-2,0.6837539672851562,0.281177818775177,0.672551691532135
4,60,4.0,0.8495821727019499,2-1-2,0-1-2,0.6722080707550049,0.24499231576919556,0.6473637819290161
4,61,4.0,0.8470752089136491,1-2-2,1-1-2,1.9608683586120605,0.31616324186325073,0.5549876093864441
4,62,0.0,0.8445682451253482,1-2-1,0-1-2,0.7443415522575378,0.183137446641922,0.5235673189163208
