seed,episode,soups,epsilon,agent_0_loss,agent_1_loss,agent_2_loss,agent_0_agrees,agent_1_agrees,agent_2_agrees
0,0,3.0,1.0,0.9775594472885132,0.892311692237854,0.8172757029533386,1,1,1
0,1,0.0,0.990909090909091,1.0515464544296265,1.2666164636611938,1.342749834060669,1,1,1
0,2,3.0,0.9818181818181818,1.512376308441162,1.3985549211502075,1.2979974746704102,1,1,1
0,3,0.0,0.9727272727272728,1.4771627187728882,1.3723945617675781,1.2248477935791016,0,1,1
0,4,3.0,0.9636363636363636,1.3774625062942505,1.3898423910140991,1.5200519561767578,1,1,1
0,5,0.0,0.9545454545454546,1.3578743934631348,1.3228917121887207,0.7785022258758545,1,1,1
0,6,3.0,0.9454545454545454,1.2334206104278564,1.3237192630767822,1.0416584014892578,1,1,1
0,7,0.0,0.9363636363636364,1.1001415252685547,1.250023365020752,1.5913794040679932,1,1,1
0,8,2.0,0.9272727272727272,1.0054789781570435,1.1105360984802246,1.495361328125,0,1,0
0,9,3.0,0.9181818181818182,1.1057218313217163,1.0374375581741333,0.9133322834968567,0,1,1
0,10,0.0,0.9090909090909091,0.8953167200088501,1.0565330982208252,0.9527889490127563,1,1,0
0,11,5.0,0.9,1.284681797027588,1.074118971824646,0.9560436010360718,1,1,1
0,12,2.0,0.8909090909090909,1.3097896575927734,1.0741040706634521,0.964032769203186,0,0,1
0,13,0.0,0.8818181818181818,1.3139445781707764,1.0588926076889038,0.9568654298782349,0,0,0
0,14,4.0,0.8727272727272728,1.3377872705459595,1.031896948814392,0.9732041954994202,1,1,1
0,15,3.0,0.8636363636363636,1.3128061294555664,0.9958466291427612,0.9467120170593262,0,1,1
0,16,4.0,0.8545454545454545,1.239969253540039,0.952899158000946,0.8756978511810303,1,0,0
0,17,0.0,0.8454545454545455,0.8038578033447266,1.6193424463272095,0.8029924035072327,1,1,1
0,18,1.0,0.8363636363636364,1.1981232166290283,0.8703062534332275,0.8345217108726501,1,0,0
0,19,3.0,0.8272727272727273,1.55759859085083,0.9378167986869812,0.7133010625839233,1,1,1
0,20,3.0,0.8181818181818181,1.5688378810882568,0.9433311820030212,0.6661422252655029,0,0,0
0,21,0.0,0.8090909090909091,0.7315049171447754,0.9509866833686829,1.5648696422576904,1,0,0
0,22,0.0,0.8,1.0795361995697021,0.7647722363471985,0.6725025773048401,0,1,0
0,23,5.0,0.7909090909090909,1.6420254707336426,1.6905412673950195,0.5898977518081665,1,1,1
0,24,3.0,0.7818181818181817,1.452778697013855,0.9560708403587341,1.410682201385498,1,1,1
0,25,3.0,0.7727272727272727,1.5818305015563965,1.7019298076629639,0.5336583256721497,1,0,1
0,26,0.0,0.7636363636363637,1.46281099319458,0.9176667332649231,0.46792343258857727,0,0,0
0,27,2.0,0.7545454545454545,1.3461376428604126,0.9409828186035156,1.5258854627609253,0,1,0
0,28,0.0,0.7454545454545455,0.9987598657608032,0.748055636882782,0.5218417644500732,1,0,0
0,29,0.0,0.7363636363636363,1.3071022033691406,0.8787003755569458,0.41419717669487,0,0,0
0,30,3.0,0.7272727272727273,1.2124335765838623,0.9023857712745667,1.58933424949646,0,0,0
0,31,4.0,0.7181818181818181,1.0826492309570312,1.8047137260437012,1.5254863500595093,1,1,1
0,32,5.0,0.709090909090909,1.1542166471481323,0.7917699217796326,1.8540371656417847,1,1,1
0,33,4.0,0.7,1.0070936679840088,0.8144991397857666,1.551133632659912,1,1,1
0,34,1.0,0.6909090909090909,1.081177830696106,0.8432829976081848,1.5121216773986816,0,0,0
0,35,0.0,0.6818181818181819,1.0554406642913818,0.8234037160873413,1.4580841064453125,0,0,1
0,36,4.0,0.6727272727272727,1.0683716535568237,1.6337097883224487,0.4875321090221405,0,0,0
0,37,3.0,0.6636363636363636,1.0477302074432373,0.7359612584114075,1.342916488647461,0,0,0
0,38,4.0,0.6545454545454545,1.0386099815368652,1.0398257970809937,0.4987373352050781,1,1,1
0,39,4.0,0.6454545454545455,1.2854018211364746,1.730363130569458,1.2690097093582153,1,0,0
0,40,2.0,0.6363636363636364,0.957447350025177,1.573225736618042,0.5670374631881714,0,0,1
0,41,4.0,0.6272727272727272,1.0437432527542114,0.9745864868164062,0.5820286870002747,0,0,0
0,42,0.0,0.6181818181818182,1.060034155845642,0.695837676525116,1.1214193105697632,1,0,1
