checkpoint,evaluation_games,mean_soups,agent_0_teacher_agreement,agent_1_teacher_agreement,agent_2_teacher_agreement
0,6,2.3333333333333335,,,
50,6,3.0,0.3333333333333333,0.16666666666666666,0.6666666666666666
100,6,4.0,1.0,0.6666666666666666,1.0
